,text,hs,translated_text
32,"..hat volksgruppen tun , findet deutschen standig statt : rockergruppen , hooligans usw .",0,"..hat people do, German will be steadily instead: rocker groups, hooligans etc."
33,ab hause gibt genug waffen killen ! problem gelost,1,Home gives enough weapons killing!problem solved
34,ab hause gibt genug waffen killen ! problem gelost,1,Home gives enough weapons killing!problem solved
35,warum niemand frau geholfen ? verbrecher verrecken lassen anstatt helfen !,1,Why no one helped women?Criminal leased instead of helping!
36,warum niemand frau geholfen ? verbrecher verrecken lassen anstatt helfen !,1,Why no one helped women?Criminal leased instead of helping!
37,supa gail !,0,Outside L!
38,hoffentlich tut ordentlich weh ! ! !,1,Hopefully hurts a lot!Being!Being!
39,schade uberlebte,1,pity survived
40,schade uberlebte,1,pity survived
41,hoffentlich verbleibt o lebenslang pflegefall !,0,"Hopefully, o lifetime remains lifefall!"
42,"rube garnitur abfahren sollen , arsch .",1,"Rubs set set, ass."
43,"rube garnitur abfahren sollen , arsch .",1,"Rubs set set, ass."
44,"muten vielmehr zuge fahren , nem kleinen bajonett vorn dran",1,"Mute rather to drive, a small bayonet in front of it"
45,"muten vielmehr zuge fahren , nem kleinen bajonett vorn dran",1,"Mute rather to drive, a small bayonet in front of it"
46,klar steuergelder notoperiert . gleich ne u-bahn losgeschickt . einpacken ticket algerien stirn drucken ... ... ... ... ... ... ... ..,0,Clear taxpayers needed.Just sent a subway.Packing Ticket Algeria Steur Print ... ... ... ... ... ... ... ..
47,"schuld , durchaus feind auslander , freund pakistan , abere typ gehort krankenhaus , gleisen liegenlassen",1,"Guilt, quite enemy foreigner, friend Pakistan, Auble Type Guest Hospital, tracks"
48,"schuld , durchaus feind auslander , freund pakistan , abere typ gehort krankenhaus , gleisen liegenlassen",1,"Guilt, quite enemy foreigner, friend Pakistan, Auble Type Guest Hospital, tracks"
49,"richtig krimos raus deutschland , naturlich deutschen krimos !",0,"Correctly crims out Germany, of course German crimes!"
50,weniger,0,fewer
51,hoffentlich verreckt facharbeiter,1,"hopefully, skilled workers"
52,hoffentlich verreckt facharbeiter,1,"hopefully, skilled workers"
53,wer bezahlt hubschraubereinsatz fur verbrecher ?,0,Who pays helicopter use for criminals?
54,gleich bestaft super brauchen kei gericht,0,Equally burst super need Kei court
55,gesindel . tut leid .,1,Winded.TUT LAY.
56,gesindel . tut leid .,1,Winded.TUT LAY.
57,"gleisen sterben lassen , ware fall absoluter gerechtigkeit",1,"Let tracks die, goods case absolute justice"
58,"gleisen sterben lassen , ware fall absoluter gerechtigkeit",1,"Let tracks die, goods case absolute justice"
59,mal eben kommentare bzw . deren verfasser ? ? .,0,Just comment or comments.whose author??.
60,politiker bekommen personenschutz wer schutzt bevolkerung verbrechern abschaum ? ja grossen passiert . angst bisschen leben . angst alte frau ? schmerzensgeld bundesregierung einklagen unrat land holt ... ...,1,Politicians receive personal protection who protects population criminals scum?yes happened great.Fear live.Fear old woman?Pain money Federal Government Complaints Unrat Land brings ... ...
61,politiker bekommen personenschutz wer schutzt bevolkerung verbrechern abschaum ? ja grossen passiert . angst bisschen leben . angst alte frau ? schmerzensgeld bundesregierung einklagen unrat land holt ... ...,1,Politicians receive personal protection who protects population criminals scum?yes happened great.Fear live.Fear old woman?Pain money Federal Government Complaints Unrat Land brings ... ...
62,kriminelle auslander ... ... liegen lassen solln ...,1,Criminal foreigners ... ... Let's leave ...
63,dumm gelaufen fur arschloch,1,run stupid for asshole
64,dumm gelaufen fur arschloch,1,run stupid for asshole
65,rein landle gesocks . platz,1,Rein Landle Socks.place
66,rein landle gesocks . platz,1,Rein Landle Socks.place
67,raus,0,Out
68,top mehr gesocks !,1,Top more Socks!
69,top mehr gesocks !,1,Top more Socks!
70,raus rattenpack,1,rattenpack
71,raus rattenpack,1,rattenpack
72,raus sofort krieg fangt schon,0,out immediately war already catches
73,lasst schiffe versenken ...,1,Let ship sink ...
74,lasst schiffe versenken ...,1,Let ship sink ...
75,"wieso festgenommen , gleich nachschmeien meer !",1,"Why arrested, straight-back sea!"
76,"wieso festgenommen , gleich nachschmeien meer !",1,"Why arrested, straight-back sea!"
77,drecks pack . ...,1,garbage pack....
78,drecks pack . ...,1,garbage pack....
79,spielen bimbos versenken,1,Play bimbos sink
80,spielen bimbos versenken,1,Play bimbos sink
81,tja mal herzlich willkommen christlichen land bescheuerten gutmenschen ! ! !,1,Tja sometimes welcome Christian land stupid good people!Being!Being!
82,tja mal herzlich willkommen christlichen land bescheuerten gutmenschen ! ! !,1,Tja sometimes welcome Christian land stupid good people!Being!Being!
83,hetze,0,hitting
84,dafur gibts torpetos,0,For this there is Torpetos
85,gebt schnell bohrer,0,Give speed drills
86,nazis..traurig,1,Nazis..straurig
87,nazis..traurig,1,Nazis..straurig
88,"ganze bereicherung verdanken christlich verblodeten vollpfosten . kardinal francesco montenegro , sizilianischer erzdiozese agrigent fluchtlingsinsel lampedusa zahlt , appellierte italiener , fluchtlingsnotstand verschlieen . ganze bevolkerungen wurden derzeit bewegung setzen , konne wegschauen .",1,"Whole enrichment owes Christianly tolled full posts.Cardinal Francesco Montenegro, Sicilian archdiozesis Agrigent fleeting island Lampedusa pays, appealed Italians, seal escape.Whole populations were currently being moved, Konne look away."
89,"ganze bereicherung verdanken christlich verblodeten vollpfosten . kardinal francesco montenegro , sizilianischer erzdiozese agrigent fluchtlingsinsel lampedusa zahlt , appellierte italiener , fluchtlingsnotstand verschlieen . ganze bevolkerungen wurden derzeit bewegung setzen , konne wegschauen .",1,"Whole enrichment owes Christianly tolled full posts.Cardinal Francesco Montenegro, Sicilian archdiozesis Agrigent fleeting island Lampedusa pays, appealed Italians, seal escape.Whole populations were currently being moved, Konne look away."
90,manchmal macht eben richtige mischung ... ! ! !,0,Sometimes just right mix ...!Being!Being!
91,warum schleppt dieseschiffe zuruck afrika ? ?,0,Why is this bifflish back Africa??
92,na vielleicht merken jetz vielen gutis wahren grund aktionen ! ! ! aufwachen ! ! !,0,"Well, Maybe now remember many Gutis true reason actions!Being!Being!wake up !Being!Being!"
93,"zuruck schicken , garnicht erst land lassen..",0,"Snatch, not even let land first .."
94,"genug genug , brauchen teppichbruder ! ! !",0,"Enough enough, need carpet brother!Being!Being!"
95,roth fur mehr fluchtlinge lief gerade tv roth einziehen losung,0,Roth for more refugees ran straight TV Roth dragging
96,"fresse , labert scheisse ... ..",0,"Fresse, Libert Scheisse ... .."
97,"echt kotzen , andauernd kommentare geloscht",0,"Really puke, constantly deleted comments"
98,"sicher . schade , deutschen moglich d verlassen . ware interessant unfagigen politiker hinstellen pack `` bereichern ''",1,"secure .Too bad, Germans to leave D.Goods interesting unbalanced politicians put pack `` enrich ''"
99,"sicher . schade , deutschen moglich d verlassen . ware interessant unfagigen politiker hinstellen pack `` bereichern ''",1,"secure .Too bad, Germans to leave D.Goods interesting unbalanced politicians put pack `` enrich ''"
100,"sags ja immer gerne : lautesten toleranz schreien , intolerantesten . rein land ganzen gesocks .",1,"Sags always like: loudest tolerance screaming, intolerant.Pure country all like."
101,"sags ja immer gerne : lautesten toleranz schreien , intolerantesten . rein land ganzen gesocks .",1,"Sags always like: loudest tolerance screaming, intolerant.Pure country all like."
102,demnachst deutschlands moschen salafistenveranstaltungen straen . hoch politiker .,0,Definitely Germany's Moschen Salafist Events Straen.High politician.
103,schiff entern zuruck schleppen versenken,1,Ship Enter Zug Slot Sink
104,schiff entern zuruck schleppen versenken,1,Ship Enter Zug Slot Sink
105,kennt musels.ist halt hinterhaltiges pack .,1,Know Musels.Is Standing Pack.
106,kennt musels.ist halt hinterhaltiges pack .,1,Know Musels.Is Standing Pack.
107,"tja ... konnt gestern fatima roth zdf bewundern leute nazis macht fluchtlingsfrage meinung ... .die dame afd punkt gebracht ... .wir deutschland gesetze fur asyl zustandig ... ..da gepruft jemand politisch verfolgt , minderheit heimat angehort verfolgt ... .usw ... .da tauchen fur fragen : ... ... .wer pruft eigentlich wahrheitsgehalt menschen her kommen ? ? ? ? ? kleine scheiss beamte ? ? froh 16.00 uhr ? ? ? ? nachte frage ware ... ... wozu gibt uber haupt gesetze mal durchgesetzt ? ? ? ? ? ? ? deutschlan leben offiziell ca . 65000 menschen deren asylantrag abgelehnt wurde ... ..was bitte ? ? ? ? ? ? ? ? ? ? ?",1,Well ... Konnt yesterday Fatima Roth ZDF admiring people Nazis makes escape question opinion .... The lady afd point brought ....We Germany laws for asylum stoody ... ..... ..usw ...????Small shit officials??Frog 16.00 o'clock????Night question Goods ... ... Why does the main law enforce???????German Life officially live approx.65000 people whose asylum application was rejected ....What please???????????
108,"tja ... konnt gestern fatima roth zdf bewundern leute nazis macht fluchtlingsfrage meinung ... .die dame afd punkt gebracht ... .wir deutschland gesetze fur asyl zustandig ... ..da gepruft jemand politisch verfolgt , minderheit heimat angehort verfolgt ... .usw ... .da tauchen fur fragen : ... ... .wer pruft eigentlich wahrheitsgehalt menschen her kommen ? ? ? ? ? kleine scheiss beamte ? ? froh 16.00 uhr ? ? ? ? nachte frage ware ... ... wozu gibt uber haupt gesetze mal durchgesetzt ? ? ? ? ? ? ? deutschlan leben offiziell ca . 65000 menschen deren asylantrag abgelehnt wurde ... ..was bitte ? ? ? ? ? ? ? ? ? ? ?",1,Well ... Konnt yesterday Fatima Roth ZDF admiring people Nazis makes escape question opinion .... The lady afd point brought ....We Germany laws for asylum stoody ... ..... ..usw ...????Small shit officials??Frog 16.00 o'clock????Night question Goods ... ... Why does the main law enforce???????German Life officially live approx.65000 people whose asylum application was rejected ....What please???????????
109,haken nehmen ausgangshafen zuruckschleppen !,0,Hook take startup port!
110,immer weien hai braucht nahe : ),1,Always wheen Hai needs near:)
111,immer weien hai braucht nahe : ),1,Always wheen Hai needs near:)
112,hilft eins boote unten anbohren . gebraucht gewollt,1,Helps one boats drill down.Used wanted wanted
113,hilft eins boote unten anbohren . gebraucht gewollt,1,Helps one boats drill down.Used wanted wanted
114,zuruck denen,0,Back
115,islam gehort strafe verboten .,0,Islam prohibited punishment.
116,"grossten not , tun menschen grausames . pfui teufel ? ? ? ? ?",0,"Largest not, people do cruelly.Pfui devil?????"
117,"viele kommentare gelesen feststellen , genau unuberlegte aussagen politiker aufschreckt nachdenken animiert . ausgewahlten worten , politik beeinflussen . hass ( predigten ) erreicht gerade mal gegenteil . wahlen parteidemokratoren abstrafen . richtig ware , frau petri ( afd9 argumentieren , asylanten immer ubergangsbleiberecht beantragen konnen . ca . 30 % ankommenden . 70 % sollten sofort zuruckgewiesen . kommentar , muslime warfen christen meer , wahrheit entspricht , kirche stellung beziehen . wiederum staatszuschussen abhangig . wer assylantenheim troglitz anzundete ja immer nachgewiesen , medien stimmung zerstoren gesellschaft . eigentliche schuldfrage fur fremdenhass bundesregierung steigbugelhaltern ( landesregierungen , landratsamter usw . ) zuschreiben lassen . a ... .. hose .",0,"Many comments read detect, exactly unuitized statements politician struggles thinking.selected words, influence politics.Hate (sermons) reaches just opposite.Elections party prescriptions absch.Right goods, Ms. Petri (AFD9 argue, apply asylum to asylum. Appeal. Approach. Ca. 30% incoming. 70% should be backed up immediately. Commentary, Muslims Threstied Christians Sea, Truth corresponds, church standing. Who to sleep ashays. Those Assylantenheim TroglitzAlways proven, media mood destroying society. Actual guilt question for foreignhass Federal Government clit ball holders (state governments, landlords, etc.) attribute. A ... .. pants."
118,"warum schutzt italienische kustenwache verbrechern ? ? ? ersten 5 boote versenkt wurden , esw vorbei spuk ! !",1,"Why does Italian coastal guard protects criminals???first 5 boats were sunk, ESW past spook!Being!"
119,"warum schutzt italienische kustenwache verbrechern ? ? ? ersten 5 boote versenkt wurden , esw vorbei spuk ! !",1,"Why does Italian coastal guard protects criminals???first 5 boats were sunk, ESW past spook!Being!"
120,"sofort ort stelle einfach versenken , rum spricht mehr viele versuchen europa kommen .",1,"Immediately place simply sink, rum speaks more many trying to come Europe."
121,"sofort ort stelle einfach versenken , rum spricht mehr viele versuchen europa kommen .",1,"Immediately place simply sink, rum speaks more many trying to come Europe."
122,moslems gewohnt.das pack mitlerweile morden hinterhaltig toten .,1,Muslims are used. The pack meanwhile murders of sneaky dead.
123,moslems gewohnt.das pack mitlerweile morden hinterhaltig toten .,1,Muslims are used. The pack meanwhile murders of sneaky dead.
124,neonazis schon recht drecksauslander gehoren vergaast mal mer freundin einkaufen gehen 2drecksturken eingang dumm anmachen asozial sowas un staat macht nix auslander raus ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1,Neonazis Already Right Guidelines include Gentle Mal Mer Girlfriend Shopping 2 Thorough Transport Inlet Stupid Turning on Asozial Sowas UN State makes Nix outstanding out!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!
125,neonazis schon recht drecksauslander gehoren vergaast mal mer freundin einkaufen gehen 2drecksturken eingang dumm anmachen asozial sowas un staat macht nix auslander raus ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1,Neonazis Already Right Guidelines include Gentle Mal Mer Girlfriend Shopping 2 Thorough Transport Inlet Stupid Turning on Asozial Sowas UN State makes Nix outstanding out!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!Being!
126,sobald muslime mehrzahl fangen automatisch gottesstaat errichten . terror nimmt lauf .,0,As soon as Muslims are automatically beginning to build God state.Terror takes run.
127,ganze schiff versenken bundeswehr jagd versenken,1,Whole ship sinking Bundeswehr hunting sinking
128,ganze schiff versenken bundeswehr jagd versenken,1,Whole ship sinking Bundeswehr hunting sinking
129,na gute .traumatisierte kindlein halt . ?,0,"Well, good. Traumatized Kindlein hold.?"
130,"groe worte , jugendbande zerschlagen ...",0,"Great words, smash youth band ..."
131,macht mal banden grostadten versager drogen menschenhandel,1,Makes Tanden Grostadte Effort Drugs Trafficking
132,macht mal banden grostadten versager drogen menschenhandel,1,Makes Tanden Grostadte Effort Drugs Trafficking
133,scheis nazis,1,SHEIS NAZIS
134,scheis nazis,1,SHEIS NAZIS
135,russen !,0,Russen!
136,facharbeier,0,career
137,darf ja nix sagen gleich rechten ecke gestellt .,0,May not say anything right right corner.
138,45 geboren schulde rest welt scheissdreck ! dreckspack einbrechen wurde-ich wurde bullen rufen-aber die-garantiert !,1,45 Born Debt Rest World Scheissdreck!Disrupted Shrove-I was called bull-but that-guaranteed!
139,45 geboren schulde rest welt scheissdreck ! dreckspack einbrechen wurde-ich wurde bullen rufen-aber die-garantiert !,1,45 Born Debt Rest World Scheissdreck!Disrupted Shrove-I was called bull-but that-guaranteed!
140,"schone kommis , geht runter schweineschnitzel , ...",0,"Schare Kommis, goes down pork schnitzel, ..."
141,@ 137c9c6970afb7fc daran schlimm rechten gestellt sage immer offen meinung schei auslandern egal andren denken sagen finde sollten mehr endert staat nie gibt wenige neonazis sagt meinung offen schei kanacken solln raus land ! ! ! ! ! ! !,1,@ 137C9C6970AFB7FC Bad Rights Sage Always Open Opinion Schei Trainers Noble Androme Thinking Saying Finding Should More Endert State Never There Never Neonazis says Opinite Shit Canades Sensation Turn Out Land!Being!Being!Being!Being!Being!Being!
142,@ 137c9c6970afb7fc daran schlimm rechten gestellt sage immer offen meinung schei auslandern egal andren denken sagen finde sollten mehr endert staat nie gibt wenige neonazis sagt meinung offen schei kanacken solln raus land ! ! ! ! ! ! !,1,@ 137C9C6970AFB7FC Bad Rights Sage Always Open Opinion Schei Trainers Noble Androme Thinking Saying Finding Should More Endert State Never There Never Neonazis says Opinite Shit Canades Sensation Turn Out Land!Being!Being!Being!Being!Being!Being!
143,"kriminelle auslander hinrichten ! eiern aufhangen , ganze familie auspeitschen ausweisen.an grenze solange knuppel kopf hauen gedanken deutschland dauernt angst hose scheien ,",1,"Write criminal foreigners!Hanging eggs, turnout whole family insulation. At the boundary as long as Knuppel Head Handen Thoughts Germany Shalles Fear Pants Shoe,"
144,"kriminelle auslander hinrichten ! eiern aufhangen , ganze familie auspeitschen ausweisen.an grenze solange knuppel kopf hauen gedanken deutschland dauernt angst hose scheien ,",1,"Write criminal foreigners!Hanging eggs, turnout whole family insulation. At the boundary as long as Knuppel Head Handen Thoughts Germany Shalles Fear Pants Shoe,"
145,furchterlich,0,fearful
146,"eltern wohnen , konnen kommen , zwei meter en schlagring , baser totschlager gebunkert , polizei erst gerufen invasoren tot !",1,"Parents live, can come, two meters of stroke ring, basin bouquet bunker, police first called invaders dead!"
147,mochte altes deutschland,0,Much old Germany
148,"wurde finden schwer verletzen . moglicherweise konnte sogar hinkriegen , erwischt . eltern 77 . wer anfasst , erledigt .",0,"Was finding difficult to hurt.Maybe even could get caught.Parents 77.Who touches, done."
149,"fallt : niemand fremdlandern gesagt . na ja : 99,8 % warscheinlich , osterreichische buben : -/",0,"Falls: Nobody said foreign countries.Well, 99.8% likely, Austrian boys: - /"
150,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1,"SCHEI DRAU URRONE GESOX thinks: pair of days Berlin Burnt accommodation for criminal asylum seekers.Criminal asylum seeker = double non-intended, quiet gasoline fire can."
151,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1,"SCHEI DRAU URRONE GESOX thinks: pair of days Berlin Burnt accommodation for criminal asylum seekers.Criminal asylum seeker = double non-intended, quiet gasoline fire can."
152,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1,"SCHEI DRAU URRONE GESOX thinks: pair of days Berlin Burnt accommodation for criminal asylum seekers.Criminal asylum seeker = double non-intended, quiet gasoline fire can."
153,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1,"SCHEI DRAU URRONE GESOX thinks: pair of days Berlin Burnt accommodation for criminal asylum seekers.Criminal asylum seeker = double non-intended, quiet gasoline fire can."
154,... darf sowas ja beim namen nennen-herr pleitgen dagegen auslander benannt,0,"... maybe something named naming-Mr. banks, on the other hand, named foreigners"
155,"fruher wurden denen hande abgehackt , zeiten , gestreichelt",1,"Previously, those hands were choppy, times, caressed"
156,"fruher wurden denen hande abgehackt , zeiten , gestreichelt",1,"Previously, those hands were choppy, times, caressed"
157,wirtschaftskrise macht grenzen dicht .,0,Economic crisis makes limits tight.
158,fachkrafte,0,expert
159,fachkrafte `` dringend '' brauchen frau merkel gesocks,1,Professionals `` Urgent '' Need Ms. Merkel
160,fachkrafte `` dringend '' brauchen frau merkel gesocks,1,Professionals `` Urgent '' Need Ms. Merkel
161,"wieso deutschland , sofort abschiebung , samt familie.und kriegen geld deutschland , klauen konnen , widerliches deutschland , tut entlich ...",0,"Why Germany, immediately deportation, including family. And wars money Germany, claws can, disgusting Germany, does pleasure ..."
162,gleich erschiessen !,1,Shoot right away!
163,gleich erschiessen !,1,Shoot right away!
164,7 leute klauen 400 fahrrader ?,0,7 people claw 400 bicycle?
165,"gibt deutsche , sowas leute : d",0,"gives German, something like that: D"
166,fur wichser taterschutz ? lachhaft !,1,FUR WICHER TATER CUTTION?smacked!
167,fur wichser taterschutz ? lachhaft !,1,FUR WICHER TATER CUTTION?smacked!
168,hoffe asylbefuhrworter mal besuch leuten kriegen .,0,Hope asylum survey words let visit people.
169,gleich erschiessen !,1,Shoot right away!
170,gleich erschiessen !,1,Shoot right away!
171,"facharbeiter , ganz klar ! ! !",0,"Skilled workers, very clear!Being!Being!"
172,"sieht wien schei kosovoalbaner , immer sofort raus pack",1,"Looks Wien Schei Kosovoalbaner, always immediately pack"
173,"sieht wien schei kosovoalbaner , immer sofort raus pack",1,"Looks Wien Schei Kosovoalbaner, always immediately pack"
174,rumanischer bettler .,0,Romanian beggar.
175,ruckfahrkarte .,0,Jerk ticket.
176,erkenne . egon . sicher ralf klaus gegend unsicher gemacht ?,0,recognize.Egon.Surely Ralf Klaus area made uncertain?
177,"8acea189036f77df , deutsche auslaender , groesste einwanderungsgruppe ... .sagt ? ?",0,"8ACEA189036F77DF, German foreigners, greatest immigration group ... Said??"
178,kommt uckermark ?,0,Will Uckermark?
179,"... ... lasst leute mal schwer arbeiten ( 10-12 std./tag ) , aufenthalt antragsstaat bezahlen , vergeht pobelei , schlagerei , , . vieleicht hause .",0,"... ... let people work hard (10-12 hrs / day), pay attitudes to pay, pounding, beating ,,.Maybe house."
180,albaner tschetsche sau ja genug davon,1,Albaner Checke Sau yes enough of it
181,albaner tschetsche sau ja genug davon,1,Albaner Checke Sau yes enough of it
182,zeit islamisten licht knipsen .,1,Time Islamists Light Knot.
183,zeit islamisten licht knipsen .,1,Time Islamists Light Knot.
184,lol gibt auslander mist bauen . xd : d,0,lol gives out of the foreign to build crap.XD: D
185,"tja , einfallsreichtum . auslandern/migranten lernen heit siegen lernen .",0,"Well, ingenuity.Learn trees / migrants learn wins."
186,na servus . einzelfalle ? ? ?,0,Well servus.Single trap???
187,menschenschrott darf,1,human scrap
188,menschenschrott darf,1,human scrap
189,ja dicken minister mitglieder heidiebummsvallera,0,Yes Thick Minister Members Heidiebsvallera
190,gab bestimmt > > > >,0,Specified >>>>
191,langer zeit ? kommt schon fragwurdig . niemand 8 jahren mitbekomm ? klar ( wers glaubt ) ... europa infiltriert bzw . infiziert ! gerade tagen immer deutlicher .,1,long time ?Is already asked.Nobody 8 years oldSure (who believes) ... Europe infiltrated or.History!Just even more clearly.
192,langer zeit ? kommt schon fragwurdig . niemand 8 jahren mitbekomm ? klar ( wers glaubt ) ... europa infiltriert bzw . infiziert ! gerade tagen immer deutlicher .,1,long time ?Is already asked.Nobody 8 years oldSure (who believes) ... Europe infiltrated or.History!Just even more clearly.
193,raus mauer aufbauen,0,Build up the wall
194,http : //goo.gl/wlc7qw irrtum ... . klar i schworre,0,http: //goo.gl/wlc7qw Error ....Clear I Schworre
195,scheiss gsindl,1,SCHEISS GSINDL
196,scheiss gsindl,1,SCHEISS GSINDL
197,"schuss knie , laufe leben !",1,"Shot of knees, lives!"
198,"schuss knie , laufe leben !",1,"Shot of knees, lives!"
199,linke grune,0,LINKE GRUNE
200,"aufhangen , kosten steuergeld ( verschwendung )",1,Cost tax fee (waste)
201,"aufhangen , kosten steuergeld ( verschwendung )",1,Cost tax fee (waste)
202,"na geh , ja , wenig unterstutzung erhalten . 1.sicher menschen , gebildeter 2.der ubliche bedauerliche einzelfall *kotz*",0,"Na go, yes, little support received.1.Servous people, educated 2.The full unfortunate individual case * kotz *"
203,tod strang,1,Death strand
204,tod strang,1,Death strand
205,sag immer raus deutschland dreckspack,1,Always say out germany dirt pack
206,sag immer raus deutschland dreckspack,1,Always say out germany dirt pack
207,fragt warum religion leiden,0,ask why religion suffering
208,schei islam,1,Shit Islam
209,schei islam,1,Shit Islam
210,"wer leute rein lasst wundert , benehmen heimat . grunde verstanden , warum organisationen pegida strae gehen . wacht endlich .",0,"Those who let people wonder, behave home.Basically, why organizations go Pegida road.Waits finally."
211,"soweit gekommen , angst eigenen land mussen , armes armes deutschland.raus bande , verloren .",0,"So far, fear of own land must, poor armes Germany.Raus band, lost."
212,"pack tag nacht gejagt , ehe deutschen ! !",1,"Pack hunted day night, marriage Germans!Being!"
213,"pack tag nacht gejagt , ehe deutschen ! !",1,"Pack hunted day night, marriage Germans!Being!"
214,gesindel .,1,Winded.
215,gesindel .,1,Winded.
216,dreckspack gehort sofort raus,1,Dreckback track immediately out
217,dreckspack gehort sofort raus,1,Dreckback track immediately out
218,idioten braucht schwein,1,Idiots needs pig
219,idioten braucht schwein,1,Idiots needs pig
