,text,hs,translated_text
99,lha menyerang gitu ya # debatfinalpilkadajkt,0,lha attacked so ya # debatefinalpilkadadjkt
100,debat berantem beda tipis # debatfinalpilkadajkt,0,The debate is a thin difference # debatefinalpilkadajkt
101,orang dibilang maki-maki orang -_- # debatfinalpilkadajkt,0,People are said to be people -_- # debatefinalpilkadajkt
102,1 2 perempuan berbeda kaum perempuan # debatfinalpilkadajk,0,1 2 different women of women # debatefinalpilkadajk
103,mantap ok oce anies sandi mengatasi urbanisasi lapangan kerja,0,Steady Ok Oce Anies Password Overcoming Job Urbanization
104,rt @ wisnudewobroto : ga seru nih . mengungkit : ) . kekerasan verbal lakukan manusia . # debatfinalpilkadajkt,0,RT @ Wisnudewobroto: It's not fun.Browse :).Verbal violence does humans.# Debatfinalpilkadajkt
105,perempuan perempuan # debatfinalpilkadajkt,0,female female # debebutinalpilkadajkt
106,# debatfinalpilkadajkt paslon 1 dpt dikategorikan sbg kekerasan debat .,0,# Debatfinalpilkadajkt Paslon 1 Can be categorized as a debate violence.
107,@ jokowi maafkan . biarkan malam memposting ujaran kebencian . malam xoxo # debatfinalpilkadajkt,0,@ Jokowi forgive.Let the night post the speech of hatred.night xoxo # debatefinalpilkadajkt
108,semoga allah memenangkan anies-sandi https : \/\/t.co\/sns0rxrw3f,0,May Allah win the Anies password https: \ / \ / t.co \ / SNS0RXRW3F
109,# debatfinalpilkadajkt non muslim coblos ahok muslim coblos djarot . ?,0,# DebatfinalPilkadajkt Non-Muslim COBLOS Ahok Muslim COBLOS Djarot.Later?
110,# debatfinalpilkadajkt *pemimpin ciptakan suasana damai tentram adu domba hasutan,0,# debebinalpilkadjkt * The leader created the peaceful atmosphere of the Sedition sheep.
111,presiden kapolri ok oce tuh ? # debatfinalpilkadajkt,0,President of the National Police Chief Ok Oce?# Debatfinalpilkadajkt
112,keliatan banget keberpihakan media # debatfinalpilkadajkt,0,it looks like the media alignments # debatefinalpilkadajkt
113,rt @ di_hatikecil : bagus nih ilustrasinya # debatfinalpilkadajkt https : \/\/t.co\/zaqlqrbiuf,0,RT @ di_hatikecil: Good Illustration # DebatfinalPilkadajkt https: \ / \ / t.co \ / zaqlqrufruf
114,rt @ rezaoktovian : ahok keren : ' ),0,RT @ rezaoktovian: cool ahok: ')
115,isinya timeline twitter cm pilkada.. membosankan sekali..,0,"the contents of the twitter cm timeline, the election ... it's boring ..."
116,mohon tenang mohon tenang # debatfinalpilkadajkt,0,Please calmly please calm down # debatefinalpilkadajkt
117,ah diulang . jawabannya beda ? # debatfinalpilkadajkt,0,Ah repeated.The answer is different?# Debatfinalpilkadajkt
118,perasaan deh yg td om @ aniesbaswedan audionya ga ya ? # debatfinalpilkadajkt,0,the feeling of which is the one @ aniesbaswedan audio or not?# Debatfinalpilkadajkt
119,tinggal pinggir kali tanahnya jualan pinggir jalan,0,Live by the river of land selling the roadside
120,rt @ rigenz123 : sehatkan warga dki # jakartaberlari barulah pembangunan sejahterakan warganya . # debatfinalpilkadajkt,0,RT @ Rigenz123: Healthy residents of DKI # Jakartaberlari then the development of the prosperity of its citizens.# Debatfinalpilkadajkt
121,diputuskan pacar program oke oce solusi nya # debatfinalpilkadajkt,0,Decided by the OCE OCE Programfriend of the Solution # DebatfinalPilkadajkt
122,melibatkan paham bidangnya duduk memecahkan solusi . kepemimpinan yg cerdas ! # debatfinalpilkadajkt,0,involves understanding the field sitting solution solution.Smart leadership!# Debatfinalpilkadajkt
123,laki-laki mengalami kekerasan verbal . kali dirimu dimarahi istrimu.. ? ayo ngaku .,0,"Men experience verbal violence.Your time is scolded by your wife ...?Come on, I admit."
124,rt @ tirtoid : gerakan-gerakan ala @ aniesbaswedan # periksadata # debatfinalpilkadajkt,0,RT @ Tirtoid: Movement - Ala Movement @ aniesbaswedan # Inquiry # DebebafinalPilkadajkt
125,mayoritas warga jakarta dipimpin gubernur . emang iya ? # debatfinalpilkadajkt,0,The majority of Jakarta residents are led by the governor.that's true ?# Debatfinalpilkadajkt
126,paslon 1 nyerang paslon 2 ni # debatfinalpilkadajkt,0,Paslon 1 Attack Pasten 2 NI # Dibabinalpilkadajkt
127,rt @ jktmajubersama : upaya anies-sandi mendukung perempuan pelaku ukm : ) # debatfinalpilkadajkt,0,RT @ jktmajubersama: Anies-password efforts support women SMEs :) # debatefinalpilkadajkt
128,salah indikator meningkatnya kualitas hidup warga jkt adl tersenyum djarot malam,0,"One of the indicators of increasing the quality of life of the people of JKT, ADL smiled at Djarot Night"
129,tontonan yg wajib ditunggu sehabis # debatfinalpilkadajkt,0,spectacle that must be awaited after # debatfinalpilkadajkt
130,"rt @ ainouun : ahok : penyandang disabilitas , . # debatfinalpilkadajkt",0,"RT @ Ainouun: Ahok: Persons with disabilities,.# Debatfinalpilkadajkt"
131,"rt @ tribunjateng : jeda , ahok djarot sapa ganjar pranowo panggung",0,"RT @ Tribunjateng: Pause, Ahok Djarot Sapa Ganjar Pranowo Stage"
132,@ boojaee sayang hyung pencitraan : * wkwk,0,@ boojaee babe hyung imaging: * wkwk
133,"@ kurawa msh inget sm penjual kue balaikota , cm ahok yg tau klo si sakit , langsung diurus rs . pencitraan .",0,"@ kurawa msh remember sm seller city cake, cm ahok who know if the sick, immediately taken care of rs.imaging."
134,biar jajan sejuta https : //t.co/vez5pxxdfr,0,so that snacks are a million https: //t.co/vez5pxxDFR
135,bio gw diganti astagfirullah rusak pencitraan cewe cantik,0,bio gw replaced astagfirullah broken beautiful girl imaging
136,# matanajwadebatjakarta ya ampun udh closing statement msh aja commentnya ky gitu ya,0,"# matanajwadebatjakarta, gosh, up to closing the statement, just comment it, bro"
137,hah uda closing statement ? ? cepet bener ? ? # debatfinalpilkadajkt,0,Hah Uda Closing Statement?Later?Cepet really?Later?# Debatfinalpilkadajkt
138,rt @ digembok : # debatfinalpilkadajkt kali keren.biasanya sesi tanya-jawab kali sesi curhat,0,RT @ paddok: # debatfinalpilkadajkt cool times. Usually the question session and answer session
139,ketiga paslon gagal jawabannya memuji kebaikan paslon,0,the third passion failed the answer praised the kindness of the paslon
140,mari berjuang sbyudhoyono utk memenangkan # saduddindhani # pilkadakabbekasi2017 # bekasisah # bekasiberjaya,0,Let's fight SBYudhoyono to win # Saduddindhani # Pilkakabbekasi2017 # Sukarisah # BekasiBerjaya
141,"jikapun aparatur dibeli , kyai santri oplosan dibeli . yng asli , melawan ketidakadilan https : //t.co/riloah9gad",0,"Even if the apparatus was bought, the Kyai Santri Oplosan was purchased.yng original, fight injustice https: //t.co/riloah9gad"
142,pasangan unggul debat kandidat gubernur-wagub dki jakarta malam ?,0,Couple Superior Debate Candidate Governor - DKI Jakarta Governor Night?
143,"keberagaman dr hati terdalam , dr pencitraan # tetap3 # jktberagam",0,"Diversity of the deepest heart, Dr. Imaging # Permanent3 # Jktaragam"
144,"membangun bangsa negara engga metoda pencitraan , teruji rekam jejak integritas tokohnya",0,"Building a state nation whether imaging methods, tested traces of the integritas of the character"
145,"rt @ adelladellaide : bersikap menjaga prilaku pencitraan , `` orang '' .",0,"RT @ Adelladellaide: Being to keep imaging behavior, `` people ""."
146,"rt @ fiersabesari : jujur , yg curiga . berbuat , yg menuduh pencitraan . bahagia , yg iri . abaikan .",0,"RT @ fiersabesari: Honest, suspicious.Do, who accuses imaging.Happy, jealous.ignore ."
147,"umat islam yg peduli agama mrk , tdk tergoda dg trik2 konyol , inshaallah umat islam sdh sadar https : //t.co/pfh1mpskfo",0,"Muslims who care about religion, are not tempted by ridiculous tricks, Inshaallah Muslims have realized https: //t.co/pfh1MPSKFO"
148,"# aniesintoleran \nanies baswedan , memiliki integritas kredibilitas pemimpin . https : //t.co/rv053gt4j8",0,"# Aniesinterler \ Nanies Baswedan, has the integrity of the credibility of the leader.https: //t.co/rv053GT4J8."
149,@ agusriyadi12345 berita ahok penista agama . penista agama kampanye jakarta pusat .,0,@ agusriyadi12345 News Ahok Penista Religion.Penista religious central Jakarta campaign.
150,"@ agusriyadi12345 sadis , berita ahok , judulnya diawali degan terdakwa penista agama nama ?",0,"@ agusriyadi12345 sadistic, news ahok, the title starts with defendant religious names?"
151,"@ altefalken kemarin berita penyakit mengingitis babi , mksd gw nyambungnya ahok ?",0,"@ Altefalken yesterday news of pig meningitis, I mean ahok?"
152,@ isejunnie @ ahmaddhaniprast artis korea world tour ahmad dhani ?,0,@ Isjunni @ Ahmadhanrash Arts Korea World Tour Ahmad Rich?
153,"@ haquemarissa , , ahok jakarta , daging babi bali hubungan nya ya ? ?",0,"@ haquemarissa ,, ahok jakarta, balinese pork is the relationship huh?Later?"
154,"ahmad dhani bangkrut ditagih utang video , mantan istrinya janda kaya raya : setahun , https : //t.co/22inrwrr26",0,"Ahmad Dhani went bankrupt billed video debt, his ex-wife widowed widow: a year, https: //t.co/22inrwrr26"
155,"ahmad dhani sentil ahok , eh sandiaga uno cengar cengir. ! : https : //t.co/vhdaaa3shi @ youtube",0,"Ahmad Dhani Sentil Ahok, eh Sandiaga Uno Cengar Grin.Thank you!: https: //t.co/vhdaaa3shi @ Youtube"
156,hehhee.. mengagumi sesorng berlebihan.. kecuali rasulullah.. https : //t.co/zxvb2dirmg,0,hehhee .. admire excess siorng .. except the Prophet .. https: //t.co/zxvb2dirmg
157,# matanajwadebatjakarta acara uda abis debat sapa betul-betul memaparkan prog solusi ?,0,# Matanajwadebatjakarta Event UDA Abis Debate Sapa Really Displays Prog Solution?
158,( koruptor ) meletakkan kitab suci ditempat rendah ... sok pemilik kapling surga ... https : //t.co/oj5yn3wbei,0,(Corruptor) put the scriptures in a low place ... Sok the owner of Kapling Heaven ... https: //t.co/oj5yn3wbei
159,rt @ 99ohhani : woww dukungan rakyat palestina ahok yg dituduhsbg penista agama ? ? mrk mengelu2kan ahok ! ! ! ahok is the best https : //t.co/,0,RT @ 99Ohhani: woww support Palestinian people Ahok who was accused of religious penistors?Later?Mrk put ahok!Thank you!Thank you!Ahok is the best https: //t.co/
160,pencitraan socmed boleh-boleh aja . tanggung citra udh dibikin . sampe malu-maluin . kasian .,0,Socmed imaging may be possible.The image of the image has been made.Until shy.poor thing .
161,rt @ kompascom : kicauan ahmad dhani dilimpahkan polres metro jakarta selatan . https : //t.co/uj0m7jernn,0,RT @ Kompascom: Chirangadan Ahmad Dhani was delegated by the South Jakarta Metro Police.https: //t.co/uj0m7jernn.
162,rt @ kv_kahfi : komplit bgt yaaaa ... .. heran nya msh aja yg percaya idolain https : //t.co/pntyranajo,0,RT @ kv_kahfi: complete bgt yaaaa ...... wonder it just believes Idolain https: //t.co/pntyraajo
163,rt @ m0th3rb04rd__ : keadilan tercipta si penista agama vonis penjara\n # berjamaahtolakreklamasi,0,RT @ m0th3rb04rd__: Justice created the Penista Religion sentence prison \ n # in congraction
