id	tweet
30453	Keşke dediklerimiz vardır.   Keşke kokusunu içime alsam   Keşke gözlerinin için doya doya bakıp   Seni seviyorum demeyi   Keşke ellerini tutsam gönlüme koyup bu kalp seni seviyor senden başkasına yar olma demek istiyor. Ama....
45902	eve geldim makyajımı silmeye erindim az önce yüzümü yıkadım makyajımı temizledim içeri geçtim babam bağırarak diyo ki allahım bi insanın makyajsız hali bu kadarmi güzel olur yaaaaav xd krem sürmemi bile istemiyo yüzüme
18728	@USER Oyumu Recep Tayyip Erdoğan 'a verdim, operasyondan onun haberi olduğuna inanmıyorum dediğini hepimiz duyduk, hiç sıkıntı yapma sen adres belli 🤣
31336	@USER Taliscayı al serbest oynasın nasılsa her yerden gol atıyor Ljajiç oyun kursun Kagawa öfff ne zor soru iyi sınavlarda böyle soru çıkmıyor, çünkü Talisca akıldan çıkmıyor..
18812	@USER Aynen 1 saat önce falan gök delindi resmen nasıl yağdıysa kimse Temmuz ayında olduğumuza inanmaz
12284	Dünya; kötülük yapanlar değil seyirci kalıp    hiçbirşey yapmayanlar yüzünden tehlikeli bir yerdir...      Albert Einstein
27734	zihnimizi sadece kendimiz özgür bırakabiliriz
19214	@USER İmparator büyük takımlar dedi zaten lig 4 uncusunden bahsetmedi ki
33019	O zaman da salak gibi kararsızdım
38049	Puhahhahhaha kuruş degil duruş he bir masum mor menekşeler sizi 😁😁😁 sizin rizedeki en büyük aslaniniz serkan cinardan başkasi degil ulan !!
11817	3 fava çalışmayı bırakır yatarım çok yoruldum favları esirgemeyelim lütfen
24933	@USER bazen insanlar da ikiye ayrilir yaninizdakiler aklinizdakiler
45591	ya bu insanlar harbiden hardcore geri zekalı. klinik psikolog olacak bir densiz cluster b üzerine yazdığım şeyi görüp "ilgin var mı?" diyor.
41822	Tüm öngörüler tek tek iflas ediyor...  olmazların olduğu bir devirden geçiyoruz.
10377	Artık o kadar alıştım ki her şeye gülüp geçiyorum
43488	Rüyamda Hulusi Akar’a öğretmenler günü şarkısını söyledim. Çok beğendi.
25792	@USER Her akşam tv izlemek yerine kitap okuruz
40730	@USER Kendime bir iyilik yapıp çok dikkatli izlemediğim bir filmdi. Ondan ötürü. 😅
33263	@USER Gülüşünde bir şey var hep icime dokunur
19221	@USER @USER @USER @USER @USER @USER @USER @USER Eleştiriye tahammül edemeyen insanlarla tartışmam. Siz böyle dediniz emriniz başüstüne deyip beynime mi hükmedeceksiniz? Fikirlerim mi değişecek? Kaldı ki gidin de bir seçmenle konuşun bir zahmet! Nasıl oy kaybettiğimizi görürsünüz.
31363	Bu bana bir yerden tanıdık geldi ama neyse :)) kafamızı kuma gömelim en iyisi 😁😁
29659	@USER Ağzında yara var, boğazında yara var, dış etlerin hassas, elini ısırıp kanatıyorsun.. Yani o kan kesin ağzında var
24587	Elbar için tüm dua kabul haklarımı film de kullandım galiba o günden sonra istemediğim ne varsa oldu 🤦🏼‍♀️
37722	Böyle arada bir sinir geliyor , durmuyor da
20643	@USER @USER @USER @USER @USER @USER Sömürüyü benimsemişler, her gördüklerini yeni birşey sanıp görgüsüzlüğü adet edinmişler, bide bunu matah birşey sanıp resimlerle ispat etme çabasındalar akılsızlar
19816	@USER Ne demek terketme,sıfırladıkları,sıfırlayamadıkları,komisyonları yerine koymadan,soyulan ve talan edilen kaynakların hesabını vermedenmi?
23388	@USER @USER @USER Mustafa Kemal ile sorunu olan akıl yoksunu insanlar ile tartışmıyorum,beni kendi halime bırakabilirsin.
42464	@USER @USER Fransa’da veya Avrupa’nın diğer bir ülkesinde, bir meclis başkanının çıkıp, “kadının sesli gülmesi, ahlaksızlıktır” diyebildiğini duydunuz mu? Veya Diyanet İşleri’nin kadını dövebilirsiniz, erkek kız çocuğuna karşı şevhet duyabilir dediğine şahit oldunuz mu?
42705	@USER İyiymiş 😂😂çok aydın bir nesil geliyor bak bu da kanıtı 😀
40858	Aşık olsana oğlum delendirme beni
31118	@USER silivri de biraz ısınmıştır gerçi.
23307	@USER İNSANI LÜZUMLU YAPAN PARASI DEĞİL, KARAKTERİ, KİŞİLİĞİDİR.
27837	Büşram otur yerine dedim sana büşram
32910	hadi biraz yalan söyleyin de inanalım
29414	@USER @USER Ağırlığını koyan bir batman lazım
30370	“Yangınsan yanalım hiç sıkıntı değil.”
45809	@USER Güleceğiz mi demek istedin yoksa güler mi anlayamadım 😀
36227	@USER Tiş görünüş önemli deyil güzelik geçicidır önemli olan insanın iç güzelliği ile sevilmesi Karteşim benim🌸🌸
10133	@USER Hem seni hemde anen o güzel götünu sikiyim cnm
11746	@USER @USER @USER İşine geldimi yapancı kaynaklara bakın gelmedimi onlar gavur yalan yazar ii salıyon zurnanın son deli ahmey
22986	hekimevi #SapkınZihniyet incelme yalnız başına çevrilgen
31398	Prof. Dr. Kar: Şule Çet davasında en önemli delil kayıp      Üniversite öğrencisi Şule Çet’in (23), 28 Mayıs 2018’de Ankara’da, cinsel saldırıya uğrayıp plazanın 20. katından atıldığı iddia ediliyor. Çet’in ölümüne ilişkin delil olabilecek yeni bulguları gün yüzüne çıkartan Mers…
21810	Deeriko kaşlar kara deriko gözler ela
32466	Senin için yansın ama seni yaksın
21183	@USER 1-2 hiti ve duruşu dışında maalesef çok da *şey* değil :)
37861	@USER Askerde bu bardağa kepçeyle çay koyuyolar ve çayın demiyle suyu karışık ayarlama diye birşey yok 😁
35798	Yarın da çalışıyorum pazarteside çalışıyorum canım burnumda dedikleri havadayım çok yorgunum çokk 😔
24945	@USER Dünyanın en mutlu insanı olurdum
30107	@USER Ya ben sana birşey soracağım ama sana mesaj atamıyorum..  😭
10462	Dün maçta çıldırdık. Sesimiz kısıldı. Bugün keyfini sürüyoruz.      Bu maç o kadar güzel ki. Ama nasıl güzel biliyo musun. Öyle o biçim güzel.
36722	#EmlakveEmlakyönetimi    Kadro sayımız mezun sayımız gibi artmali azalmamalı.      📌Tapu ve kadastro genel müdürlüğü,   📌Yerel yönetimler genel   müdürlüğü   📌Milli Emlak genel müdürlüğü      20bini aşkın mezun kadro bekliyor!📣   @USER   @USER   @USER   @USER   @USER
43708	Furkan da girdi oyunun içine Ersan da girerse oyuna öne geçeriz
19419	Bu kadar sarıklı Rize için üfleseler !😈😈😈😈
45461	Anlamı: Sömürülecek bir gezegenimiz daha oldu...
19843	Souza şimdiye kadar Fenerbahçe’de izlediğim en kötü şut çeken orta saha, Josico falan dahil
43162	@USER Seni çok seviyorum bak deprem oldu sallandık yine de seviyorum
26199	Denkleştirdim yaz gelene kadar evden çıkmazsam hiç üşümem
20357	Köyün su depolarına arefe gecesi geçici olarak bir miktar su aktarılmış olup bu da çok yetersiz kalmıştır. Devletimizin bu sorunu en kısa sürede çözeceğinden kuşkusuz şüphemiz yoktur. Fakat susuzluk köylüyü hat safhada oerişan etmiştir. Gereğini arz ederim.
27440	ŞubattaSağlığa 60BinAtama Artık yorulduk soran herkese atama bekliyoruz demekten yorulduk. @USER @USER @USER @USER
41074	DM'den doğum tarihinizi, yerinizi, zamanınızı ve isminizi yollayın doğum haritanızı okuyup kendimce özet çıkarıp paylaşayım hadi bakalım
42454	Dün gece yorumlarının kısa özeti;   Yönetimdir futbolcudur geçer gider.      Biz FATİH TERİM’le kalırız       #KenetlenGalatasaraylı
18316	hayatım tamam işte ben de onu diyorum zaten konuşarak anlaşamıyoruz evet, azcık da koklaşmayı deneyelim.
32607	Beni kıskançlık değil kıskandığımı gösteremeyip içime atmalar mahvetti
16596	#HayvanaSiddetSuctur tecavüzcü müebbet, işkenceci caydırıcı sürede hapis cezası almalı. Bu dünyanın sahibi ne sensin ne benim. Herkes haddini bilsin artık.
35824	@USER Canım Ablam benim Mübarek kadir Gecenizi En İçten Dileklerimle Kutlar, Ellerinden Öperim, Allahu Teala'dan Sana, ailene ve sevdiklerinize esenlikler, dilerim.. Bin Aydan Daha Hayırlı Olan Bu Mübarek Gece' de dualarımda olacaksın. @USER
16740	Ağlama Kurban olduğum Ne olur ağlama 😞 #DamlaCan
23913	yarım saattir izliyorum bu adam ne yaptıda sarı gördü diye.öncesinde uyarı falanda almadı ananızı sikeyim sizin ben ya orospu çocukları
33358	@USER @USER O gün söylenen senin iddian gibi olsaydı biz ortalığı ayağa kaldırırdık   Bir defa derken kurum kapatmak ısrarı üzerine 'kurumda bir defa görülmüş' anlamında söylenmiş bir söz idi   Milli Eğitimde çalışan malesef sözde öğretmenlerin yaptığı ahlaksızlık içinde okullar mı kapansın
41196	Arjantin’i tümüyle yok edelim 😀 bunlar hep sorun.
41158	Ver gelsin yine sigaraya zam devlete para lazım
13038	@USER Evet siz olmayınca sıkıcı oluyor
37305	Sivas merkez yaşım 30 seksi çok seviyorum ve bir bayanın sexten mutlu olmasını daha çok istiyorum bir ilişkim en az bir buçuk saat sürüyor Yeter ki amacınız sadece seks olsun çok uzakta değilim sivas merkez deyim gerçekten mutsuz bayanları bekliyorum her şekilde sonuna kadar gü
42254	şu halde olup mutlu olan insana rastlamadım
12169	@USER @USER Ben bişi yapmadım bu sefer Gün'ün annesi yapmış 😂🙊🙈
44543	Yarin ve cumartesi müsaitim deli gibi sex istiyorum 190.90 full aktifim musait olan yazsin#antalyagay
19059	Başlıyacam şimdi hazırlık, dostluk maçına çıkın gelin.Bu nedir abi ya lig başlamadan sakatlayacaklar 😬
20488	Kimseye bir şeyi anlatmaya çabalamıyorum, kimseyi kaybetmemek için ya da kazanmak için de uğraşmıyorum çünkü zaten herkes anlamak istediğini anlıyor, eğer bir şeyin olacağı varsa da su akıp bir şekilde yolunu buluyor.
17025	@USER Öyle bişey mi dedim ben sana! Ben sana diyorum ki euronun 6 TL olduğu çok sevdiğim ülkemde yaşamaya çalışıyorum. Ama sen ne anlıyorsun sizin orda algılara bişey mi iciriyorlar!
11913	Şu hayatta bana istediğini yap ama beni uyandırma!
13192	@USER Sizede çok yakışır ama bu muhteşem fiziğe
19141	@USER Aşk uykuya benzer, Beklemekle gelmezgelince karşı koyamazsın, Erken uyanırsan mutsuz olursuncok uyursan tadı kacar, P,S
30361	orası boş olduğu için bu gece orda uyuycam aq...
33215	@USER Gözlerini kapa derin derin nefes al ve onu düşünmemeye çalış
23337	@USER Hemen yarın çek! Devleтin ve İş bankasının bundan bir kaybı olmaz. Hisseler ile de bir nükleer sanтrali daha desтekler ve inşaa ederiz. Bir işe yarar. Sizler de faydalı bir işтen elinizi ve iradenizi çekmiş olursunuz! O hisseler devleтin ve halkın.
26647	#ADEM, BİR ELMA YEDİĞİ İÇİN CENNETTEN KOVULDU ANCAK BU GÜN KAN İÇEN İNSAN KESEN KİŞİLERİN CENNETİ UMUT ETTİKLERİNİ GÖRÜYORUZ.
36340	@USER Bu güzel şehir deneresi?   Aa benim şehrimmiş 😊
15640	Galatasaray maçında penaltı verilmedi her fener maçında şenol güneş bordo mavi giyiniyor biz o yüzden şampiyon olamıyos bırak bu işleride bi git artık yaw
12545	@USER @USER takip eder misiniz gt yapıyoruz❤️🇹🇷❤️
14042	Swarm kullananlardan hoşlanmıyorum ama sebebi ne bilmiyorum
37503	@USER Dünyadaki eşitsizliğin, adaletsizliğin, savaşların ve vahşice yapılan katliamların sorumluları.    Bir tanesini örnek gösterebilir misiniz, dünyadaki kapitalist sistemin acımasızlığına karşı çıkan, insan haklarını ve özgürlükleri savunan birini?   Bunlara, Prens Hazretleri yakışır!
28584	Günaydın diyemem çünkü halen uyuyorum
41203	Yeni EĞİTİM sistemine;      ▪️Ücretli öğretmenliğin kaldırıldığı      ▪️3600 ek göstergenin geldiği      ▪️Mülakatın kaldırıldığı      ▪️60 bin atamanın yapıldığı      SİSTEM YAKIŞIR 👏👏      @USER @USER       #Eylülde60binatama
31270	Seçimlerde en büyük darbeyi " Gavur ABD" yiyecektir.Orta doğu ayakları yerden kesiliyor !
10339	Kandırılmaya alışmış onca insanları toplayın uzundan kısaya doğru sol baş sabit dirsek temas aralıgı hizaya girsinler hepsini teptik edecem #17MartDünyaSafİnsanlarGünü
21940	@USER Mutsuzlugunun farkında olmayankendini mutlu sanan insanları gördükce ürperiyorum,Fernando Pessoa
36756	Hadi bir soruda ben sorayım eşinizle aynı yerde çalışmak istermisiniz ,iyi düşünün sevgili yada flört değil eşiniz ile
14004	Dün tüm bölümlere tüm sahnelere tekrardan bir göz attım, her şey bir kenara gerçekten çok güzel bir dizimiz var, HiLeon için ne desem az kalacak onların o mükemmel aşkı hikayesi...   Çok özleyeceğim.      #HiLeon
17155	Canımmm tel geldi üst üste çok özledimm senii çokk hediyemucizem
17603	@USER @USER Ahmet efendi peki bu alçagin sebep oldugu infazlari ne yapacaz var mi mantikli bir cewabiniz yuzlerce insanin işkence edilmesine yari insan olmasina sebep olmuş. De hadi kemkum etmeden cewap ver
32103	@USER O saçlara istediğini sür işe yaramaz
23592	@USER YA BİLİYORUM AMA NOLUR DEVAM ET WĞCLWOXN
26953	@USER Merhaba arkadaşlar hoş geldin iz
23461	Uyumak istemiyorum yine rüyamda seni göremiycem çünkü.
38154	Doğru söylüyor bok yemişiz gibi tepki vermeyin eksiklerimizi giderin
24827	EYT halkı seçime kadar hakkını alsa da almasa da BU İKTİDARA OY VERMEZ ARTIK.
39846	@USER Ne gereksiz şeylere takılıyorsunuz.Amaç üzüm yemek değil bağcıyı dövmek.
10886	@USER futbol artık alt yapılarda kluplerle abileri amcaları büyükleri bağlantılı olan insanların yuvası olduğu için. Milli takımda paraları olanlar var bu sistemle biz başarı beklemeniz zor yetenek olmayan insana ne kadar antrenman yüklesende  sonuç böyle oluyor
29351	Öncelikli olarak kimi ifşa edip kimi etmeyeceğime ben karar veririm arkadaşlar bunda bir anlaşalım.Kimsenin sorgulama yapmasına gerek yok yaşadığımı ben biliyorum vereceğim tepkiyi de ben bilirim kimsenin HADDİ değil. Olayın  iç yüzüne geçmeden destek olanlara teşekkürler
42313	@USER Onun bunun fotoğraflarını takip ediyorum
45152	Artik umurumda olmaz kim bana ne demis ne dememis ne tur kafadaysam o kafada bir sey icerim tertemiz kendime gelirim allah belasini versin beni bu raddeye getirenlerin terrrrtemizdim tertemiz
25113	Kankini yalnız bırakma koş peşinden çabuk otobüs kalkacak
36422	ayyy Allah korusun galiba gizliden aşık oldum
26867	Beton 2 yi geçmem lazım yoksa okul uzuyo ama ikinci dönemee
33541	@USER Emin ol hala her il, ilçe, belde, bölgede rahat rahat kalırsın kardeşim...👍🏻👍🏻   Milli görüş böyle birşey...👍🏻👍🏻👍🏻
29628	“İnsanların büyük bölümü sağlıksız ve abartılı bir altrüizm yolunda hayatlarını ziyan etmekteler —hatta ziyan etmeye zorlanmaktalar.”
30888	Yüce rabbim, kullarına "sağdan gidiniz" skilli mi ekleseydin acaba ya. Benimki sadece fikir, yine sen bilirsin tabi.
36145	@USER Hepsi ceplerini çok güzel dolduruyor vatandaşta birbirine sayıyor işte
33788	#Rize'de kaybolan çocuklar:      Rize valisi: 4 ve 5 yaşında olan Çocuklar Ormanlık alanda sağ olarak bulundular.      Sağlık durumları iyi.      Şükür..
15207	Uyanamadım ama yine de günaydın
17646	Çok bir şey istemiyorum şu hayatta; bir sevgili mesela, çalışabilir durumda bir beyini olsun  Kendini vazgeçilmez görmesin yeter.
17769	Bu saate niye uyandim şimdi amacım neydiki
17610	@USER Kimse kusura bakmasın benim orospusu çocukluğu yapacak insanlara saygı gösterecek ahlakım yok bunlara saygı gösteren yarın küçük çocuklara musallat olanlarada saygı gösterir 😠
35807	Gönlünüzden hoşgörü yüzünüzden tebessüm hiç eksik olmasın  Kadir gecemiz mübarek olsun
42321	Altay, Vedat, Ferdi bu üç puanı size borçluyuz teşekkürler çocuklar💪🏻
24119	@USER @USER Tarihteki geri, ilkel, çağ dışı toplumların hiç birseyi lazim degil. Nasil ki Mali den birşey almıyorsak Araplardan da birşey lazım değil.
27956	@USER Sevgilinin lutfunu gördugunuz zaman sevmek kolaydır Peki ya kahrını görunce de sevebilir misiniz
24227	@USER 6 gun oncede burdan yazdim ayni sorunu.ayni cevabi ogunde verdiniz.yine ayni cevap..bu kadar zor olan nedir.ya baglarsiniz yada olmuyor der kaparsiniz.
24603	@USER Bu seçimi #EYT kazanacak başka yolu yok #EYT nin balkon konuşması na gelirsiniz artik
37001	Toplu sözleşme. Yani, birilerinin kayırılması değil, herkese sağlanan bir imkan. #HerŞeyÇokGüzelOlacak #İsrafbolBüyükşehirBelediyesi
27539	İskendere alternatif olarak pideli köfte yemeyi tercih ederim o da Kayhan'da Yeşil'de yiyeceksin ve özellikle cuma günleri gideceksin çünkü bedava sınırsız süt helvası ikram ediyorlar harika!
15580	ü?ürken gören arkada?n zaten Rus hayran? Putinin bu i?te parma?? var oyuna gelmeyelim
28004	@USER @USER Akp,nin hem maarif hem savunma bakanı küçük İsmet diyorki akp,ye oy verin kıyamet günü berat'niz olur diyor.
16870	Ey Üstad!   27.Söz,müslümanları gayretin ve bu ulvî dinin hizmetine teşvik ediyor. Sanki ufukta bir hedef, ehl-i iman için de bir rehber   Barla
18491	#seniniçin ölürüm demek isterim lakin öldükten sonrası tehlike anne evladını bırakırken sen beni tekme tokat döversin cennete girmek için o yüzden birbirimizi kandırmayalım lütfen
30769	@USER kanka kocaman karga(sahipsiz evcil değil) geldi durduk yere kafama kondu.. kayra kadar vardı boyutu
13919	Chp de İstiklal marşı okunurken. Sanki milli takımı Dünya kupası finaline çıkmış gibi heyecanlandım
38316	Eveetty yeni daslarımız geldi hayırlı olun
32338	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Eyvallah mübarek ((:   Selam olsun Vatanı ve Lideri için gecesini gününe katıp mücadele eden 15 Temmuz Ruhlu Milli ve Cesur yüreklere...
34083	Ne çok sanatçımız ! varmış arkadaş.    Galiba hepsi 15 temmuz gecesi yurt dışında falandı. Türkiyede olmadıkları için vatanlarını savunmak için çıkmadılar dışarı gezide çıktıkları gibi... #herşeyçokgüzelolacak
28924	#SnKocaDiyalizTekTşkEdiyor   Çok teşekkür ederiz bakanım 🙏   @USER   @USER   @USER   @USER   @USER @USER atanmak istiyoruz sayın bakanım 💉
28840	@USER yav düşünün düşünün bu adam size bunkelimeyi kullanıyorsa bende akıl yokki diye yav düşünün varmı sizde akıl ?
23741	@USER Beşiktaş'ta çita çok yükseldi. Demba Ba, Gomez, Abubakar dan sonra gelen forvetin en az onlar kadar performans göstermesi lazım. Bu durum uzun bir süre gelen her forvetin üzerinde ciddi baskı yaratacaktır
35858	Nasıl bir krem gözlerim yanıyor
32690	Beelki biraz ani oldu ama takkk etti canıma 💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻👯‍♀️👯‍♀️
41380	@USER Nasıl özetlemişsiniz bu kadar az kelime ile çok şeyi. Helal olsun boşuna gitmese de doğruya doğru....
16545	Ya neden bu kadar çoook seviyorum nedeeeen. ❤️ @USER
34391	Çaya siyanür katmışlar.      Kininizi son hafta oynayacağız Trabzona saklayın , biz çok üzeriz sizi.
11705	Ben senin   geniş zamanların olsaydım keşke.   Sabahların,   iş çıkışların; yol yorgunluğun.   Eve dönüşlerin mesela…   Hiçbişeyin olamadım ya tūm sitemlerim ondan aslında...
45357	@USER Asıl sivri sinek öldürme seans ları kapansın kış geldi ✌️🤗
13621	Bazen hızlı koşan da yavaş koşan gibi geç varır hedefe.
43086	@USER Siz ak tröller densiniz ne kadar provakatif bir şey varsa üstleniyorsunuz TAK  VARKEN SİZ KİMSİNİZ
13391	Bu veda değil sana dönemiyor yüreğim
28847	@USER Evcilleştirmek lazım o zaman seni 😂😂
36509	Birisi eşinizin veya kızınızın resmini gizli gizli çekse buna razı gösterecekmisiniz  @USER bey.
41814	İyi şeyler birden bire olur bu kadar bekletmez insanı
17168	@USER Ne olursa olsun TÜRKİYE CUMHURİYETİ NİN bir Kürt vatandaşı olmama rağmen 22 senedir CHP 🇹🇷inadına ATAM VE BU SENE GÖNLÜMÜZÜ fetheden mükemmel adam sayın ince  ❤️
41906	İlk kadın hükümdar Tomris Hatundur.
38108	Düşmemem gereken bir beye düşmek üzereyim
35443	@USER Adam her yarışta lastiklerde sıkıntı var diye diye şampiyon oluyo her sene.. Pardon adam demişim.
14640	Bütün çocukları öldürsenizde elbet bir Musa sağ kalacak ! @USER
19392	@USER Seni bi ara cok seviyordum Şimdi ne degişti Sen
15623	+Selim’in bu planı bilmesi yeterince SAÇMA değilmiş gibi, bir de bu planı YÖNETİYOR? Horzum son bölümlerde öyle çıkmaza girmiş ki, planlamadığı şeyler yapıyor. Bu yüzden de yaptığı şeylerde hep bir kopukluk var, mantık hatası var. Selim’in Sena’ya böyle bir şey yapması imkansız.+
16447	@USER Bır ayakkabı alamıyoruz bır ayakkabı 500 lıra dıyıyor cocuk şu mubarek gunde yalan ıftıra bı koltuk ıcın yazıklar olsun sıze fetonun cocukları
38271	@USER @USER @USER @USER İnsanlar zulmeder...Kader ise adalet..A.Hamidi yalnız bırakanlar bedelini ödedi..Reisede vefasızlık yapanlar misli ile öder..Olanlar olacakların tanığıdır
10713	@USER Aynen abi tek gayemiz FENERBAHÇE  ve şahsi olarak değişim istiyorum...Ali Koç'u Barcelona başkani önünü ilikleyip karşılıyorsa benim başkanım bu olmalı diyorum...Sanada saygılıyım ki hic polemige girip cevap vermem seviliyorsun😉😉
27002	@USER Çoğalır mı yoksa olduğu yerde kalır mı? Akılcılık olmaz, akılsızlık varlığını sürdürmeye mi devam eder?
12902	Kendi derdim bana yetmiyormuşcasına gece gece La Casa de Papelde Moskova'nın öldüğü bölümü izledim gözyaşlarım ekranı görmemi engelliyor şu an
32382	@USER yarin cikip ysk bin detse sasirmam...zira son merci diyorlar....gunah kecisi ysk olacak
40719	Jhope! Sen bi bu tarafa gelsene. Bişey söylicem 😌😌😌😌😌😌😌✌️💜🔥
45188	Avarelik yapıp ders çalışmasanız ve okulunuzu bitirmezseniz amele olursunuz. Eğer derslerinizi çalışıp üniversitenizi bitirirseniz kesin amele olursunuz.
18521	Ortalığın Amına koymalık bir gün 👋🏼
22932	İnsanlar hediyelerini koyucak boyutta hediye paketi bulamıyorlar,  dertlere bakar mısınız
35577	Biraz daha namuslu görünmek için bastırdığınız cinsel dürtülerinizi, zorla/kaba kuvvet kullanarak gidermekten hiç vazgeçemeyecek gibisiniz
10239	@USER @USER @USER Kaldırıyorum be tamam uff cjsmndmfmgg
10470	Şeref ekmek bulamazken şerefsiz bulur
36036	Kralsın dede bayram namazından sonra ilk beni arıyorsun. Bayramda  memlekette olamayışıma mı yanayım, dedemin beni arayışına mı?
34497	@USER Menşın atmak için tekrar geri geldim
18417	@USER Valla kötü be kardeş şu saatte balyoz sallıyorum 2 saat kaldı mesainin bitmesine ben bittim iş bitmedi.
41193	Yaptığınız hatayla değil yaptıktan sonraki duruşunuzla soğutuyosunuz insanları kendinizden
25619	Erzurum’a evinde 2-0’dan 2-2 yaptırıyon.   Değil Ersun Yanal, Guardiola gelse ifla olmaz bunlar 😂
39000	İkinci şansları sikeyim, insanlar asla değişmez.    -Thomas Shelby
22648	@USER Festivalin geldiği noktayı iyi özetliyor!
34881	Canımı yakan bir kaç detay var ve ben halledemiyodum
29005	İnsanlar sizi eskisi gibi kullanamadıklarında değiştinizi söylerler...
37375	@USER @USER @USER Birader sen bana hep itici gelmiştin ama sen baya baya üniversitede kürtçü komünist gerzekleri tokatlayan kralmışsın. Bu lavukların benzerleri üniversitede Hasan Şimşek ve Fırat Çakıroğlu’nu katletti. Söylediğine göre zaten birisi de dağa çıkmış. Rahat ol, daha çok sevildin.
15078	Sen AŞK diye yazılıp, EŞ diye okunansın...   "Bu dünya bize yetmez" dediğim, cennet ortağımsın...   #AşkKalbinDuasıdır
12680	Akıp giden zamanı izliyoruz yaşamak varken
14335	@USER DEVAM.. DEVAM DEVAM Sonuna kadar... ölümüne DEVAM..
17319	Aşırı bi regl sancısıyla sınava giriyorum bismillah
23934	@USER Bir başkasının aklını ve yüregini kolayca okuyamazsın, O yüzden onu yargılarken acele etme,
