id,text,hs
31398,"prof. dr. kar : sule cet davasnda onemli delil kayp universite ogrencisi sule cet  in ( 23 ) , 28 mays 2018  ankara  , cinsel saldrya ugrayp plazann 20. katndan atldg iddia ediliyor . cet  in olumune iliskin delil olabilecek yeni bulgular gun yuzune ckartan mers...",0
21810,deeriko kaslar kara deriko gozler ela,0
32466,senin icin yansn seni yaksn,1
21183,@ user 1-2 hiti durusu dsnda maalesef cok *sey* degil : ),0
37861,@ user askerde bardaga kepceyle cay koyuyolar cayn demiyle suyu karsk ayarlama birsey yok,0
35798,yarn calsyorum pazarteside calsyorum canm burnumda dedikleri havadaym cok yorgunum cokk,0
24945,@ user dunyann mutlu insan olurdum,0
30107,@ user ben sana birsey soracagm sana mesaj atamyorum..,0
10462,dun macta cldrdk . sesimiz ksld . bugun keyfini suruyoruz . mac kadar guzel . nasl guzel biliyo musun . oyle bicim guzel .,0
36722,"# emlakveemlakyonetimi kadro saymz mezun saymz artmali azalmamal . tapu kadastro genel mudurlugu , yerel yonetimler genel mudurlugu milli emlak genel mudurlugu 20bini askn mezun kadro bekliyor ! @ user @ user @ user @ user @ user",0
43708,furkan girdi oyunun icine ersan girerse oyuna one geceriz,0
19419,kadar sarkl rize icin ufleseler !,0
45461,anlam : somurulecek bir gezegenimiz oldu ...,0
19843,"souza simdiye kadar fenerbahce  izledigim kotu sut ceken orta saha , josico falan dahil",0
43162,@ user seni cok seviyorum bak deprem oldu sallandk yine seviyorum,0
26199,denklestirdim yaz gelene kadar evden ckmazsam hic usumem,0
20357,koyun su depolarna arefe gecesi gecici olarak bir miktar su aktarlms olup cok yetersiz kalmstr . devletimizin sorunu ksa surede cozeceginden kuskusuz suphemiz yoktur . fakat susuzluk koyluyu hat safhada oerisan etmistir . geregini arz ederim .,0
27440,subattasaglga 60binatama artk yorulduk soran herkese atama bekliyoruz demekten yorulduk . @ user @ user @ user @ user,0
41074,"dm'den dogum tarihinizi , yerinizi , zamannz isminizi yollayn dogum haritanz okuyup kendimce ozet ckarp paylasaym hadi bakalm",0
42454,dun gece yorumlarnn ksa ozeti ; yonetimdir futbolcudur gecer gider . fatih terim  le kalrz # kenetlengalatasarayl,0
18316,"hayatm tamam iste ben onu diyorum zaten konusarak anlasamyoruz evet , azck koklasmay deneyelim .",0
32607,beni kskanclk degil kskandgm gosteremeyip icime atmalar mahvetti,0
16596,"# hayvanasiddetsuctur tecavuzcu muebbet , iskenceci caydrc surede hapis cezas almal . dunyann sahibi sensin benim . herkes haddini bilsin artk .",0
35824,"@ user canm ablam benim mubarek kadir gecenizi icten dileklerimle kutlar , ellerinden operim , allahu teala'dan sana , ailene sevdiklerinize esenlikler , dilerim.. bin aydan hayrl olan mubarek gece ' dualarmda olacaksn . @ user",0
16740,aglama kurban oldugum olur aglama # damlacan,0
23913,yarm saattir izliyorum adam yaptda sar gordu diye.oncesinde uyar falanda almad ananz sikeyim sizin ben orospu cocuklar,1
33358,@ user @ user gun soylenen senin iddian olsayd ortalg ayaga kaldrrdk bir derken kurum kapatmak srar uzerine 'kurumda bir gorulmus ' anlamnda soylenmis bir soz idi milli egitimde calsan malesef sozde ogretmenlerin yaptg ahlakszlk icinde okullar m kapansn,0
41196,arjantin  i tumuyle yok edelim bunlar sorun .,0
41158,ver gelsin yine sigaraya zam devlete para lazm,0
13038,@ user evet olmaynca skc oluyor,0
37305,sivas merkez yasm 30 seksi cok seviyorum bir bayann sexten mutlu olmasn cok istiyorum bir iliskim bir bucuk saat suruyor yeter amacnz sadece seks olsun cok uzakta degilim sivas merkez deyim gercekten mutsuz bayanlar bekliyorum sekilde sonuna kadar gu,1
42254,su halde olup mutlu olan insana rastlamadm,0
12169,@ user @ user ben bisi yapmadm sefer gun'un annesi yapms,0
44543,yarin cumartesi musaitim deli sex istiyorum 190.90 full aktifim musait olan yazsin # antalyagay,1
19059,"baslyacam simdi hazrlk , dostluk macna ckn gelin.bu nedir abi lig baslamadan sakatlayacaklar",0
20488,"kimseye bir seyi anlatmaya cabalamyorum , kimseyi kaybetmemek icin kazanmak icin ugrasmyorum cunku zaten herkes anlamak istedigini anlyor , eger bir seyin olacag varsa su akp bir sekilde yolunu buluyor .",0
17025,@ user oyle bisey mi dedim ben sana ! ben sana diyorum euronun 6 tl oldugu cok sevdigim ulkemde yasamaya calsyorum . sen anlyorsun sizin orda alglara bisey mi iciriyorlar !,1
11913,su hayatta bana istedigini yap beni uyandrma !,0
13192,@ user sizede cok yaksr muhtesem fizige,0
19141,"@ user ask uykuya benzer , beklemekle gelmezgelince kars koyamazsn , erken uyanrsan mutsuz olursuncok uyursan tad kacar , p , s",0
30361,oras bos oldugu icin gece orda uyuycam aq ...,1
33215,@ user gozlerini kapa derin derin nefes al onu dusunmemeye cals,0
23337,@ user hemen yarn cek ! devlein is bankasnn bundan bir kayb olmaz . hisseler bir nukleer sanrali desekler insaa ederiz . bir yarar . sizler faydal bir isen elinizi iradenizi cekmis olursunuz ! hisseler devlein halkn .,1
26647,"# adem , bir elma yedigi icin cennetten kovuldu ancak gun kan icen insan kesen kisilerin cenneti umut ettiklerini goruyoruz .",0
36340,@ user guzel sehir deneresi ? aa benim sehrimmis,0
15640,galatasaray macnda penalt verilmedi fener macnda senol gunes bordo mavi giyiniyor yuzden sampiyon olamyos brak isleride bi git artk yaw,0
12545,@ user @ user takip eder misiniz gt yapyoruz,0
14042,swarm kullananlardan hoslanmyorum sebebi bilmiyorum,0
37503,"@ user dunyadaki esitsizligin , adaletsizligin , savaslarn vahsice yaplan katliamlarn sorumlular . bir tanesini ornek gosterebilir misiniz , dunyadaki kapitalist sistemin acmaszlgna kars ckan , insan haklarn ozgurlukleri savunan birini ? bunlara , prens hazretleri yaksr !",0
28584,gunaydn diyemem cunku halen uyuyorum,0
41203,yeni egitim sistemine ; ucretli ogretmenligin kaldrldg 3600 ek gostergenin geldigi mulakatn kaldrldg 60 bin atamann yapldg sistem yakisir @ user @ user # eylulde60binatama,0
31270,secimlerde buyuk darbeyi `` gavur abd '' yiyecektir.orta dogu ayaklar yerden kesiliyor !,1
10339,kandrlmaya alsms onca insanlar toplayn uzundan ksaya dogru sol bas sabit dirsek temas aralg hizaya girsinler hepsini teptik edecem # 17martdunyasafinsanlargunu,0
21940,"@ user mutsuzlugunun farknda olmayankendini mutlu sanan insanlar gordukce urperiyorum , fernando pessoa",0
36756,"hadi bir soruda ben soraym esinizle ayn yerde calsmak istermisiniz , iyi dusunun sevgili yada flort degil esiniz",0
14004,"dun tum bolumlere tum sahnelere tekrardan bir goz attm , sey bir kenara gercekten cok guzel bir dizimiz var , hileon icin desem kalacak onlarn mukemmel ask hikayesi ... cok ozleyecegim . # hileon",0
17155,canmmm tel geldi ust uste cok ozledimm senii cokk hediyemucizem,0
17603,@ user @ user ahmet efendi peki alcagin sebep oldugu infazlari yapacaz var mi mantikli bir cewabiniz yuzlerce insanin iskence edilmesine yari insan olmasina sebep olmus . hadi kemkum etmeden cewap ver,1
32103,@ user saclara istedigini sur yaramaz,0
23592,@ user biliyorum nolur devam et wgclwoxn,0
26953,@ user merhaba arkadaslar hos geldin iz,0
23461,uyumak istemiyorum yine ruyamda seni goremiycem cunku .,0
38154,dogru soyluyor bok yemisiz tepki vermeyin eksiklerimizi giderin,1
24827,eyt halk secime kadar hakkn alsa almasa iktidara oy vermez artik .,0
39846,@ user gereksiz seylere taklyorsunuz.amac uzum yemek degil bagcy dovmek .,0
10886,@ user futbol artk alt yaplarda kluplerle abileri amcalar buyukleri baglantl olan insanlarn yuvas oldugu icin . milli takmda paralar olanlar var sistemle basar beklemeniz zor yetenek olmayan insana kadar antrenman yuklesende sonuc boyle oluyor,0
29351,oncelikli olarak kimi ifsa edip kimi etmeyecegime ben karar veririm arkadaslar bunda bir anlasalm.kimsenin sorgulama yapmasna gerek yok yasadgm ben biliyorum verecegim tepkiyi ben bilirim kimsenin haddi degil . olayn ic yuzune gecmeden destek olanlara tesekkurler,0
42313,@ user onun bunun fotograflarn takip ediyorum,0
45152,artik umurumda olmaz bana demis dememis tur kafadaysam kafada bir sey icerim tertemiz kendime gelirim allah belasini versin beni raddeye getirenlerin terrrrtemizdim tertemiz,1
25113,kankini yalnz brakma kos pesinden cabuk otobus kalkacak,0
36422,ayyy allah korusun galiba gizliden ask oldum,0
26867,beton 2 yi gecmem lazm yoksa okul uzuyo ikinci donemee,0
33541,"@ user emin ol hala il , ilce , belde , bolgede rahat rahat kalrsn kardesim ... milli gorus boyle birsey ...",0
29628, insanlarn buyuk bolumu saglksz abartl bir altruizm yolunda hayatlarn ziyan etmekteler hatta ziyan etmeye zorlanmaktalar . ,0
30888,"yuce rabbim , kullarna `` sagdan gidiniz '' skilli mi ekleseydin . benimki sadece fikir , yine sen bilirsin tabi .",0
36145,@ user ceplerini cok guzel dolduruyor vatandasta birbirine sayyor iste,1
33788,# rize'de kaybolan cocuklar : rize valisi : 4 5 yasnda olan cocuklar ormanlk alanda sag olarak bulundular . saglk durumlar iyi . sukur..,0
15207,uyanamadm yine gunaydn,0
17646,"cok bir sey istemiyorum su hayatta ; bir sevgili mesela , calsabilir durumda bir beyini olsun kendini vazgecilmez gormesin yeter .",0
17769,saate uyandim simdi amacm neydiki,0
17610,@ user kimse kusura bakmasn benim orospusu cocuklugu yapacak insanlara sayg gosterecek ahlakm yok bunlara sayg gosteren yarn kucuk cocuklara musallat olanlarada sayg gosterir,1
35807,gonlunuzden hosgoru yuzunuzden tebessum hic eksik olmasn kadir gecemiz mubarek olsun,0
42321,"altay , vedat , ferdi uc puan size borcluyuz tesekkurler cocuklar",0
24119,"@ user @ user tarihteki geri , ilkel , cag ds toplumlarn hic birseyi lazim degil . nasil mali den birsey almyorsak araplardan birsey lazm degil .",1
27956,@ user sevgilinin lutfunu gordugunuz zaman sevmek kolaydr peki kahrn gorunce sevebilir misiniz,0
24227,@ user 6 gun oncede burdan yazdim ayni sorunu.ayni cevabi ogunde verdiniz.yine ayni cevap..bu kadar zor olan nedir.ya baglarsiniz yada olmuyor der kaparsiniz .,0
24603,@ user secimi # eyt kazanacak baska yolu yok # eyt nin balkon konusmas na gelirsiniz artik,0
37001,"toplu sozlesme . , birilerinin kayrlmas degil , herkese saglanan bir imkan . # herseycokguzelolacak # israfbolbuyuksehirbelediyesi",0
27539,iskendere alternatif olarak pideli kofte yemeyi tercih ederim kayhan'da yesil'de yiyeceksin ozellikle cuma gunleri gideceksin cunku bedava snrsz sut helvas ikram ediyorlar harika !,0
15580,u ? urken goren arkada ? n zaten rus hayran ? putinin i ? te parma ? ? var oyuna gelmeyelim,0
28004,"@ user @ user akp , nin maarif savunma bakan kucuk ismet diyorki akp , ye oy verin kyamet gunu berat'niz olur diyor .",1
16870,"ey ustad ! 27.soz , muslumanlar gayretin ulvi dinin hizmetine tesvik ediyor . ufukta bir hedef , ehl-i iman icin bir rehber barla",0
18491,# seninicin olurum demek isterim lakin oldukten sonras tehlike anne evladn brakrken sen beni tekme tokat doversin cennete girmek icin yuzden birbirimizi kandrmayalm lutfen,0
30769,@ user kanka kocaman karga ( sahipsiz evcil degil ) geldi durduk yere kafama kondu.. kayra kadar vard boyutu,0
13919,chp istiklal mars okunurken . milli takm dunya kupas finaline ckms heyecanlandm,0
38316,eveetty yeni daslarmz geldi hayrl olun,0
32338,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user eyvallah mubarek ( ( : selam olsun vatan lideri icin gecesini gunune katp mucadele eden 15 temmuz ruhlu milli cesur yureklere ...,0
34083,cok sanatcmz ! varms arkadas . galiba 15 temmuz gecesi yurt dsnda faland . turkiyede olmadklar icin vatanlarn savunmak icin ckmadlar dsar gezide cktklar ... # herseycokguzelolacak,1
28924,# snkocadiyaliztektskediyor cok tesekkur ederiz bakanm @ user @ user @ user @ user @ user @ user atanmak istiyoruz sayn bakanm,0
28840,@ user yav dusunun dusunun adam size bunkelimeyi kullanyorsa bende akl yokki yav dusunun varm sizde akl ?,1
23741,"@ user besiktas'ta cita cok yukseldi . demba ba , gomez , abubakar dan sonra gelen forvetin onlar kadar performans gostermesi lazm . durum uzun bir sure gelen forvetin uzerinde ciddi bask yaratacaktr",0
35858,nasl bir krem gozlerim yanyor,0
32690,beelki biraz ani oldu takkk etti canma,0
41380,@ user nasl ozetlemissiniz kadar kelime cok seyi . helal olsun bosuna gitmese dogruya dogru ... .,0
16545,kadar coook seviyorum nedeeeen . @ user,0
34391,"caya siyanur katmslar . kininizi son hafta oynayacagz trabzona saklayn , cok uzeriz sizi .",0
11705,"ben senin genis zamanlarn olsaydm keske . sabahlarn , is ckslarn ; yol yorgunlugun . eve donuslerin mesela... hicbiseyin olamadm tum sitemlerim ondan aslnda ...",0
45357,@ user asl sivri sinek oldurme seans lar kapansn ks geldi,0
13621,bazen hzl kosan yavas kosan gec varr hedefe .,0
43086,@ user ak troller densiniz kadar provakatif bir sey varsa ustleniyorsunuz tak varken kimsiniz,1
13391,veda degil sana donemiyor yuregim,0
28847,@ user evcillestirmek lazm zaman seni,0
36509,birisi esinizin kznzn resmini gizli gizli cekse buna raz gosterecekmisiniz @ user bey .,0
41814,iyi seyler birden bire olur kadar bekletmez insan,0
17168,@ user olursa olsun turkiye cumhuriyeti nin bir kurt vatandas olmama ragmen 22 senedir chp inadna atam sene gonlumuzu fetheden mukemmel adam sayn ince,0
41906,ilk kadn hukumdar tomris hatundur .,0
38108,dusmemem gereken bir beye dusmek uzereyim,0
35443,@ user adam yarsta lastiklerde sknt var sampiyon oluyo sene.. pardon adam demisim .,1
14640,butun cocuklar oldursenizde elbet bir musa sag kalacak ! @ user,0
19392,@ user seni bi ara cok seviyordum simdi degisti sen,0
15623,"+selim  in plan bilmesi yeterince sacma degilmis , bir plan yonetiyor ? horzum son bolumlerde oyle ckmaza girmis , planlamadg seyler yapyor . yuzden yaptg seylerde bir kopukluk var , mantk hatas var . selim  in sena  boyle bir sey yapmas imkansz.+",0
16447,@ user br ayakkab alamyoruz br ayakkab 500 lra dyyor cocuk su mubarek gunde yalan ftra b koltuk cn yazklar olsun sze fetonun cocuklar,1
38271,@ user @ user @ user @ user insanlar zulmeder ... kader adalet..a.hamidi yalnz brakanlar bedelini odedi..reisede vefaszlk yapanlar misli oder..olanlar olacaklarn tangdr,1
10713,@ user aynen abi tek gayemiz fenerbahce sahsi olarak degisim istiyorum ... ali koc'u barcelona baskani onunu ilikleyip karslyorsa benim baskanm olmal diyorum ... sanada sayglym hic polemige girip cevap vermem seviliyorsun,0
27002,"@ user cogalr m yoksa oldugu yerde kalr m ? aklclk olmaz , aklszlk varlgn surdurmeye mi devam eder ?",0
12902,kendi derdim bana yetmiyormuscasna gece gece la casa papelde moskova'nn oldugu bolumu izledim gozyaslarm ekran gormemi engelliyor su an,0
32382,@ user yarin cikip ysk bin detse sasirmam ... zira son merci diyorlar ... .gunah kecisi ysk olacak,0
40719,jhope ! sen bi tarafa gelsene . bisey soylicem,0
45188,avarelik yapp ders calsmasanz okulunuzu bitirmezseniz amele olursunuz . eger derslerinizi calsp universitenizi bitirirseniz kesin amele olursunuz .,0
18521,ortalgn amna koymalk bir gun,1
22932,"insanlar hediyelerini koyucak boyutta hediye paketi bulamyorlar , dertlere bakar msnz",0
35577,"biraz namuslu gorunmek icin bastrdgnz cinsel durtulerinizi , zorla/kaba kuvvet kullanarak gidermekten hic vazgecemeyecek gibisiniz",1
10239,@ user @ user @ user kaldryorum be tamam uff cjsmndmfmgg,0
10470,seref ekmek bulamazken serefsiz bulur,0
36036,"kralsn dede bayram namazndan sonra ilk beni aryorsun . bayramda memlekette olamaysma m yanaym , dedemin beni araysna m ?",0
34497,@ user mensn atmak icin tekrar geri geldim,0
18417,@ user valla kotu be kardes su saatte balyoz sallyorum 2 saat kald mesainin bitmesine ben bittim is bitmedi .,0
41193,yaptgnz hatayla degil yaptktan sonraki durusunuzla sogutuyosunuz insanlar kendinizden,0
25619,"erzurum  a evinde 2-0  dan 2-2 yaptryon . degil ersun yanal , guardiola gelse ifla olmaz bunlar",0
39000,"ikinci sanslar sikeyim , insanlar asla degismez . -thomas shelby",1
22648,@ user festivalin geldigi noktay iyi ozetliyor !,0
34881,canm yakan bir kac detay var ben halledemiyodum,0
29005,insanlar sizi eskisi kullanamadklarnda degistinizi soylerler ...,0
37375,"@ user @ user @ user birader sen bana itici gelmistin sen baya baya universitede kurtcu komunist gerzekleri tokatlayan kralmssn . lavuklarn benzerleri universitede hasan simsek frat cakroglu  nu katletti . soyledigine gore zaten birisi daga ckms . rahat ol , cok sevildin .",1
15078,"sen ask yazlp , es okunansn ... `` dunya bize yetmez '' dedigim , cennet ortagmsn ... # askkalbinduasdr",0
12680,akp giden zaman izliyoruz yasamak varken,0
14335,@ user devam.. devam devam sonuna kadar ... olumune devam..,0
17319,asr bi regl sancsyla snava giriyorum bismillah,0
23934,"@ user bir baskasnn akln yuregini kolayca okuyamazsn , yuzden onu yarglarken acele etme ,",0
33825,@ user kokenleriyle alakal degil bence . cunku afrikada ack giyinilir cinsel kimlikten ziyade dogal bir cplaklk vardr . oysa bunda teshir var . tamamen abd populizm kulturu .,1
43935,@ user haklsn ersun-caner uyumu zevkten 4 kose ediyor umarm devre aras getirilebilir,0
33841,@ user muhalefetin yalanlar rte nin gercekleri sarpsyor ... . rte ye kadar saldr olmas ?,1
24116,goremiyorum oruspu cocugu kelebegi goremiyorum bin kere denedim kafayi yicem,1
14266,@ user amerikay vergiye baglayan tek devlet osmanl imparatorlugu dur,0
12635,"istanbul  a doneyim , hemen spora devam edecegim . tum negatiflikleri uzerimden atp hayata yeniden baslayacagm . soz kendime .",0
14329,@ user frat aydnus denen futbol katili babelin penaltsn verseydi 90+7 verseydi aykut  un dedigi mac 3-2 biterdi diger eyyamc mete kalkavan  kadkoy  deki macta yine babelin golunu verseydi kimin hakettigi ortaya ckard kupa size zehir zkkm olur insallah,1
35828,"yarm saat once kutsal aya giris yaptk , kutlu olsun",0
31911,"uyku duzenim bozuldu , hic gerek yoktu boyle eksnlara",0
32016,@ user dilek hanm anneniz sevgilinizi istemiyor olma ihtimali isimi yok,0
27572,@ user tovbee neyse sormadim ben soru,0
44319,tamam aq anladk ayda bir ayn tiviti atmanza gerek yok,1
40499,@ user yazk bize gencecik yasmzda hasta ettiler hepimizi,0
43167,@ user sana seni seviyorum diyemem cunki sende gidersen ... . maga beee,0
44696,@ user babacan durumda ak partinin devam niteliginde olursa yine sknt bence ilerisi icin ayrca imamoglu benim gonlumdeki,0
35547,@ user @ user sadece tayyip bey yapyorsa zaten gereksiz oldugunuzu kendi agznzla beyan etmissiniz,1
43486,bronzlasmak icin cabalayan insanlar anlamyorum bronzlastm sokaga bile ckmak istemiyorum derece dont like..,0
44148,@ user aynen adasm hayatta sey paraya bakyor maalesef,0
43016,kz kendi canndan cok seviyormus,0
11229,"tesettur ortmek demektir , bol giyinmek demektir , edepli , hayal , iffetli olmak demektir . ( alnt )",0
24738,"gun disini skp ta enaz 1.5 saatini mutfakta yemek yapmakla gecirecek ? olay tamamen usengeclikle alakali.hazr varken kimse zahmete girismiyor.hersey bir yana encok fast foodla beslenen kucuklere uzuluyorum.cogu obez adayi , simdiden ...",0
10449,seni benden fazla seven birini bulamazsn bulursan onun anasn avradn @ user,1
22766,mutsuz degilim halim kalmams,0
44766,bugun cumartesi ben sizi cok ozledim,0
23212,... keske kurt boyle medeni kulturlu olsa heryerde ortamda ... turkler icinde gecerli ! ! !,0
31878,saglk calsann korumak bir devletin gorevidir. # sagliktateror,0
14006,sevgilisi icin arkadaslaryla arasn bozan serefsizdir,1
26177,"ben hicbir seyi unutmam , ben bana yaplan affetmem seni , defalarca , hatta defasnda",0
18650,@ user takibi brak memleketi nasl yonetecek,0
17472,@ user diyecek birsey bulamyorum allah sonumuzu hayr etsin hayrls neyse oyle olsun ..,0
14165,"dolara gucu yetmeyenler muharrem ince  ye ,  projesi ne.  demez mi , gul , gul , gul ...",1
33975,bana kafasnda sar sapka bir sey olan tae'yi atar msnz ? gun konserde hali .,0
44254,bilirdi asknn bedeli geceligi 300 oldugundan,0
