,text,hs
63,# debatfinalpilkadajkt serang deh,0
64,rt @ inakinoy : baca biar mendinginkan suasana # debatfinalpilkadajkt https : \/\/t.co\/em9gckc4qe,0
65,ayo berlomba program jgn pitnah doank.. # debatfinalpilkadajkt # badjapastimenang,0
66,rt @ qronoz : pokoknya kalo ahok udah ngomong : aduuuuuuh kelar . # debatfinalpilkadajkt,0
67,senjata makan tuan # debatfinalpilkadajkt # debatfinaldki,0
68,ahok kekerasan verbal ? koruptor dielus2 # debatfinalpilkadajkt,0
69,rt @ qronoz : gak program diserang diserang karakternya . ahay ! \ud83d\ude02 # debatfinalpilkadajkt,0
70,terkait jakarta ramah anak tanggapan @ aniesbaswedan https : \/\/t.co\/ufa55uwbci,0
71,emang ok oce anies sandi mengatasi urbanisasi lapangan kerja # debatfinalpilkadajkt https : \/\/t.co\/brceczskux,0
72,suporternya kampungan paslon ngomong jg ... ... # debatfinalpilkadajkt,0
73,seru ni # debatfinalpilkadajkt,0
74,# debatfinalpilkadajkt nangis nangis ketonjok,0
75,rt @ kafyonaa : debat malam pilihanmu jatuh paslon ? # debatfinalpilkadajkt # debat3pilkadadki,0
76,rt @ magendajuang : wkwkwk udah dah pilih anies sandi aja : ) # debatfinalpilkadajkt https : \/\/t.co\/hmxhjyhbnj,0
77,fitnah kejam loh pembunuhan # debatfinalpilkadajkt,0
78,mari # debatsehat . coba pakai # datasesat . # debatfinalpilkadajkt # debatfinaldikompastv,0
79,"rt @ prastow : apapun , keberanian ahok membongkar mafia anggaran tonggak apbd yg kredibel akuntabel .",0
80,rt @ sydsalesman : wujud nasional-is-me dagangannya @ pandji ... hebat ! https : \/\/t.co\/0fyig6c2xl,0
81,dosen keliatan aslinya : (,0
82,rt @ gabriellaandini : kampanye uda deklarasi anti sara ? ? ? gw pikir no.3 mending no.1,0
83,# debatfinalpilkadajkt mateng mpok silvy bombardir ahok ... cerdas ahok..,0
84,# debatfinalpilkadajkt mohon tenang,0
85,yg no.1 nih ngomongin yg program mulu ya . ngga bhan ya bwt serang lawan.. cape dehh ! # debatfinaldki # debatfinalpilkadajkt,0
86,cinta ahok pokoknya # debatfinalpilkadajkt,0
87,# debatfinalpilkadajkt nggak ibu2 pengen foto ahok bapak2 lho,0
88,mas agus akui malam ... .rambut bagus ! # debatfinalpilkadajkt,0
89,rt @ republikaonline : ahok janji berani tutup hiburan malam jual narkoba,0
90,agus-sylvi sisipkan bahasa jawa debat https : \/\/t.co\/fgtfxgainx,0
91,"rt @ hariadhi : ahok udah perhatikan penyandang disabilitas , jauuuh kandidat berjanji # nobarahokdjarot # badjapastijuara",0
92,ahok keren ! ! ! # debatfinalpilkadajkt,0
93,gimana ya tim ahok disudutkan ( ? ) final kali y,0
94,nih fakta yg asbun . # badjapastimenang # debatfinalpilkadajkt,0
95,siap-siap meme cctv . # debatfinalpilkadajkt # debat3pilkadadki # debatfinaldki,0
96,nyinyir tingkat nasional # debatfinalpilkadajkt,0
97,drama bgt : ( ( # debatfinalpilkadajkt,0
98,judulnya debat nyerang paslon 2 ? ? ? ? ? ? # debatfinalpilkadajkt,0
99,lha menyerang gitu ya # debatfinalpilkadajkt,0
100,debat berantem beda tipis # debatfinalpilkadajkt,0
101,orang dibilang maki-maki orang -_- # debatfinalpilkadajkt,0
102,1 2 perempuan berbeda kaum perempuan # debatfinalpilkadajk,0
103,mantap ok oce anies sandi mengatasi urbanisasi lapangan kerja,0
104,rt @ wisnudewobroto : ga seru nih . mengungkit : ) . kekerasan verbal lakukan manusia . # debatfinalpilkadajkt,0
105,perempuan perempuan # debatfinalpilkadajkt,0
106,# debatfinalpilkadajkt paslon 1 dpt dikategorikan sbg kekerasan debat .,0
107,@ jokowi maafkan . biarkan malam memposting ujaran kebencian . malam xoxo # debatfinalpilkadajkt,0
108,semoga allah memenangkan anies-sandi https : \/\/t.co\/sns0rxrw3f,0
109,# debatfinalpilkadajkt non muslim coblos ahok muslim coblos djarot . ?,0
110,# debatfinalpilkadajkt *pemimpin ciptakan suasana damai tentram adu domba hasutan,0
111,presiden kapolri ok oce tuh ? # debatfinalpilkadajkt,0
112,keliatan banget keberpihakan media # debatfinalpilkadajkt,0
113,rt @ di_hatikecil : bagus nih ilustrasinya # debatfinalpilkadajkt https : \/\/t.co\/zaqlqrbiuf,0
114,rt @ rezaoktovian : ahok keren : ' ),0
115,isinya timeline twitter cm pilkada.. membosankan sekali..,0
116,mohon tenang mohon tenang # debatfinalpilkadajkt,0
117,ah diulang . jawabannya beda ? # debatfinalpilkadajkt,0
118,perasaan deh yg td om @ aniesbaswedan audionya ga ya ? # debatfinalpilkadajkt,0
119,tinggal pinggir kali tanahnya jualan pinggir jalan,0
120,rt @ rigenz123 : sehatkan warga dki # jakartaberlari barulah pembangunan sejahterakan warganya . # debatfinalpilkadajkt,0
121,diputuskan pacar program oke oce solusi nya # debatfinalpilkadajkt,0
122,melibatkan paham bidangnya duduk memecahkan solusi . kepemimpinan yg cerdas ! # debatfinalpilkadajkt,0
123,laki-laki mengalami kekerasan verbal . kali dirimu dimarahi istrimu.. ? ayo ngaku .,0
124,rt @ tirtoid : gerakan-gerakan ala @ aniesbaswedan # periksadata # debatfinalpilkadajkt,0
125,mayoritas warga jakarta dipimpin gubernur . emang iya ? # debatfinalpilkadajkt,0
126,paslon 1 nyerang paslon 2 ni # debatfinalpilkadajkt,0
127,rt @ jktmajubersama : upaya anies-sandi mendukung perempuan pelaku ukm : ) # debatfinalpilkadajkt,0
128,salah indikator meningkatnya kualitas hidup warga jkt adl tersenyum djarot malam,0
129,tontonan yg wajib ditunggu sehabis # debatfinalpilkadajkt,0
130,"rt @ ainouun : ahok : penyandang disabilitas , . # debatfinalpilkadajkt",0
131,"rt @ tribunjateng : jeda , ahok djarot sapa ganjar pranowo panggung",0
132,@ boojaee sayang hyung pencitraan : * wkwk,0
133,"@ kurawa msh inget sm penjual kue balaikota , cm ahok yg tau klo si sakit , langsung diurus rs . pencitraan .",0
134,biar jajan sejuta https : //t.co/vez5pxxdfr,0
135,bio gw diganti astagfirullah rusak pencitraan cewe cantik,0
136,# matanajwadebatjakarta ya ampun udh closing statement msh aja commentnya ky gitu ya,0
137,hah uda closing statement ? ? cepet bener ? ? # debatfinalpilkadajkt,0
138,rt @ digembok : # debatfinalpilkadajkt kali keren.biasanya sesi tanya-jawab kali sesi curhat,0
139,ketiga paslon gagal jawabannya memuji kebaikan paslon,0
140,mari berjuang sbyudhoyono utk memenangkan # saduddindhani # pilkadakabbekasi2017 # bekasisah # bekasiberjaya,0
141,"jikapun aparatur dibeli , kyai santri oplosan dibeli . yng asli , melawan ketidakadilan https : //t.co/riloah9gad",0
142,pasangan unggul debat kandidat gubernur-wagub dki jakarta malam ?,0
143,"keberagaman dr hati terdalam , dr pencitraan # tetap3 # jktberagam",0
144,"membangun bangsa negara engga metoda pencitraan , teruji rekam jejak integritas tokohnya",0
145,"rt @ adelladellaide : bersikap menjaga prilaku pencitraan , `` orang '' .",0
146,"rt @ fiersabesari : jujur , yg curiga . berbuat , yg menuduh pencitraan . bahagia , yg iri . abaikan .",0
147,"umat islam yg peduli agama mrk , tdk tergoda dg trik2 konyol , inshaallah umat islam sdh sadar https : //t.co/pfh1mpskfo",0
148,"# aniesintoleran \nanies baswedan , memiliki integritas kredibilitas pemimpin . https : //t.co/rv053gt4j8",0
149,@ agusriyadi12345 berita ahok penista agama . penista agama kampanye jakarta pusat .,0
150,"@ agusriyadi12345 sadis , berita ahok , judulnya diawali degan terdakwa penista agama nama ?",0
151,"@ altefalken kemarin berita penyakit mengingitis babi , mksd gw nyambungnya ahok ?",0
152,@ isejunnie @ ahmaddhaniprast artis korea world tour ahmad dhani ?,0
153,"@ haquemarissa , , ahok jakarta , daging babi bali hubungan nya ya ? ?",0
154,"ahmad dhani bangkrut ditagih utang video , mantan istrinya janda kaya raya : setahun , https : //t.co/22inrwrr26",0
155,"ahmad dhani sentil ahok , eh sandiaga uno cengar cengir. ! : https : //t.co/vhdaaa3shi @ youtube",0
156,hehhee.. mengagumi sesorng berlebihan.. kecuali rasulullah.. https : //t.co/zxvb2dirmg,0
157,# matanajwadebatjakarta acara uda abis debat sapa betul-betul memaparkan prog solusi ?,0
158,( koruptor ) meletakkan kitab suci ditempat rendah ... sok pemilik kapling surga ... https : //t.co/oj5yn3wbei,0
159,rt @ 99ohhani : woww dukungan rakyat palestina ahok yg dituduhsbg penista agama ? ? mrk mengelu2kan ahok ! ! ! ahok is the best https : //t.co/,0
160,pencitraan socmed boleh-boleh aja . tanggung citra udh dibikin . sampe malu-maluin . kasian .,0
161,rt @ kompascom : kicauan ahmad dhani dilimpahkan polres metro jakarta selatan . https : //t.co/uj0m7jernn,0
162,rt @ kv_kahfi : komplit bgt yaaaa ... .. heran nya msh aja yg percaya idolain https : //t.co/pntyranajo,0
163,rt @ m0th3rb04rd__ : keadilan tercipta si penista agama vonis penjara\n # berjamaahtolakreklamasi,0
164,"rt @ teddygusnaidi : bro.. yg fatwa penista agama , mui gak mengeluarkan fatwa . https : //t.co/x9uxhqjkca",0
165,rt @ teddygusnaidi : sidang menguatkan ahok penista agama.. bantah ? ? \nhttps : //t.co/2ksj4snr1t,0
166,"ahok akademisi , ahmad dhani : intelektual , intelek bang anies https : //t.co/yrzfmmv1lg",0
167,"yg penista agama sesungguhnya , agama yg suci alat mengejar jabatan ( kekuasaan ) https : //t.co/hkvzipm8zs",0
168,"kalah pilkada bekasi , ahmad dhani juru kampanye pasangan anies-sandi https : //t.co/oizpn8hynd # nenengyes https : //t.co/fgohkhxwxt",0
169,# matanajwadebatjakarta bravo closing statement anies malam ini.kalau nggak debat nggak nonton mata najwa sdh tdk suka .,0
170,"# matanajwadebatjakarta anis bikin pas debat kemarin , `` menarik nyambung ''",0
171,"# matanajwadebatjakarta buzzer ahok kerja keras nih , .ayo kerja2 tar gajian ga turun",0
172,# matanajwadebatjakarta kerendahan hati lawan kerendahan hati banget..,0
173,# matanajwadebatjakarta gaya @ aniesbaswedan kayak sby ya ?,0
174,"# matanajwadebatjakarta kenyataannya si anis nyaman bgt dgn isu sara , nguntungin anis , pura2 sok bijak pdhl menikmati isu sara ,",0
175,# matanajwadebatjakarta nyesel liat debat bermutu mencela..,0
176,# matanajwadebatjakarta.kesimpulan : tdk rela gub seorg anies sy percaya ahok menang . salam 2 jari .,0
177,@ ibnusungeb ahoker panas dingin ahok kalah debat anis . # matanajwadebatjakarta,0
178,yg ga backsound penutup mata najwa musisinya judulnya ? # matanajwadebatjakarta,0
179,"# matanajwadebatjakarta p ahok apapun utk rakyat , p anies tkt dicurangi ... ngerti bedanya..",0
180,"@ matanajwa mantapppp mata najwa diskusi hidup mendidik , , , berkualitas banding debat yg selenggarakan kpu",0
181,"@ matanajwa mbak najwa..ayo `` ketengah '' sedikit..jgn kiri , dgn anies cpt2 menyelesaikan kalimat2nya..",0
182,"ribut-ribut pribumi vs non pribumi ramai beranda , maksudnya ? ...",0
183,"sedih liat anies , tokoh kagumi ; ' ) # matanajwadebatjakarta",0
184,sp @ aniesbaswedan bisanya cm serang pribadi @ basuki_btp gak program yg dibanggakan # matanajwadebatjakarta,0
185,gimana nih om @ pandji gedeg dengerin retorika ga wawasan . gimana udah terlanjur ya . # matanajwadebatjakarta,0
186,haduhhhh anies.. pendukung didatengin jakarta ? jakarta # matanajwadebatjakarta,0
187,haha anies pendemo2 dr jawa barat ga ngomen . takut kalah ya haha # matanajwadebatjakarta,0
188,# matanajwadebatjakarta uno habis 62m istrinya ga marah ya ? mo beli sepatu 300rb aja istri marah2,0
189,"# matanajwadebatjakarta suka menyerang , perang , . ibadah menyerang orang..",0
190,"# matanajwadebatjakarta paslon 3 serang membawa2 hal2 yg menyerang , tp paslon 2 tenang menjawabnya",0
191,"aahhh akuh sedih , akuh org depok ngga jakarta manies jahattttt # matanajwadebatjakarta",0
192,"# matanajwadebatjakarta saludd utk mata najwa , berbobot perdebatan malam ini..",0
193,orang bertanggung tindakan . menuai positif . # sidangahok,0
194,", # sidangahok dugaan penistaan agama dgn terdakwa @ basuki_btp murni isyu pilkada dki jakarta murni islam ? ? ?",0
195,kejujuran pahala surga . sabar ya basuki # freeahok https : //t.co/nlgbecj4jc,0
196,orang bertanggung tindakan . menuai positif . # sidangahok,0
197,"# matanajwadebatjakarta terima kasih pendidikan demokrasi rakyat indonesia , jakarta .",0
198,"keberagaman dr hati terdalam , dr pencitraan # tetap3 # jktberagam",0
199,"membangun bangsa negara engga metoda pencitraan , teruji rekam jejak integritas tokohnya",0
200,keberpihakan badan hukum merusak demokrasi # important # matanajwadebatjakarta,0
201,"lo menceritakan kalimat2 yg dilontarkan anies @ matanajwa dgn bahasa lo , lo . # matanajwadebatjakarta",0
202,"liat sosmed , ahok menang telak . sayang , kata-kata manis yg diserap bbrp warga . # matanajwadebatjakarta",0
203,mah basuki bebas ya ? # freeahok https : //t.co/mw3k0vywef,0
204,"debat @ matanajwa , ahok keliatan diatas angin ya . kliatan menguasai problem solusi tata kelola jakarta .",0
205,lihat ahok kayak lihat power rangers merah,0
206,kesimpulan . ahok spt fokus detail program . anies fokus menjatuhkan lawan # matanajwadebatjakarta,0
207,"pertunjukan serius gak diganggu , selamat @ aniesbaswedan gagasan nya # matanajwadebatjakarta",0
208,berpihak ... melayani rakyat sepenuh hati..tuhan kekuasaan.. tuhan mengambil..-ahok # matanajwadebatjakarta,0
209,ahok blunder pak..dari udah bagus . pertanyaannya komitmen menerima hasil kontestasi . # matanajwadebatjakarta,0
210,keberpihakan badan hukum merusak demokrasi # important # matanajwadebatjakarta,0
211,"lo menceritakan kalimat2 yg dilontarkan anies @ matanajwa dgn bahasa lo , lo . # matanajwadebatjakarta",0
212,"debat @ matanajwa , ahok keliatan diatas angin ya . kliatan menguasai problem solusi tata kelola jakarta .",0
213,jakarta . selamat berjuang ahok anies ! # matanajwadebatjakarta,0
214,ahoker debat program ? jlebb.. ko kena uppercut anies kjp . pergubnya blm rubah.. @ roemahdjoeang @ netizentofa @ cepot234,0
215,rt @ alysap_ : penganut agama dapet hak - ahok # matanajwadebatjakarta,0
216,"heran ilklan kampanye # ahokdjarot yg terbaru , loh bingung bkn akuang , asiang , aming # iklanahokjahat",0
217,abis nyoblos streaming video perkembangan pilkada 2017 pake # sisakuotagakhangus @ im3ooredoo kuota ga habis deh,0
218,muslim diuji negara yg mayoritas islam..semoga smua bersabar menahan utk berbicara kasar sbg balasan,0
219,jakarta . selamat berjuang ahok anies ! # matanajwadebatjakarta,0
220,"rt @ grcllafrn : anies , inget , yg kau tabur kau tuai ... takut : '' ) # matanajwadebatjakarta",0
221,rt @ kompascom : metode penarikan sampel hitung cepat yg litbang kompas dlm pilkada dki jakarta 2017 ? simak,0
222,"mnding diem aja @ basuki_btp pergerakanmu disalahkan , klo wktunya menang ntar jga menang ... . # iklanahokjahat",0
223,rt @ netmediatama : perbincangan menarik quick count pilkada 2017 @ irakoesno . # netpilkada https : \/\/t.co\/odbvw4uwmr,0
224,bersyukur menutup kampanye berdoa pilkada dki jakarta 15 februari 2017 berjalan lancar,0
225,julia perez kecewa gagal nyoblos pilkada dki 2017 tps 15 rscm https : \/\/t.co\/vajplioiek,0
226,disediakan ambulans pasien mencoblos pilkada dki 2017,0
227,rt @ miekarinayam : pilkada 2017 ? kehilangan hak yg dijamin konstitusi ?,0
228,ya allah ! anis sandi gubernur dki jakarta terpilih,0
229,domisili gue jakpus bela-belain tps yg berlokasi jakbar dgn bermodal e-ktp ikutan pilkada 2017 .,0
230,rt @ netmediatama : presiden @ jokowi hak suaranya pilkada dki jakarta 2017 tps 4 gambir jakarta pusat . # netpilkada,0
231,"rt @ boelatboelat : agree @ basuki_btp kekuasaan tuhan kasih , dijatuhkan , tuhan menaikkan : ) # matanajwadebatjakarta",0
232,"rt @ azzambarbarossa : akibat nila setitik rusak susu sebelangga , akibat mulut oknum terdidik rusak persatuan bangsa . # iklanahokjahat",0
233,"mudah-mudahan novel baswedan alami kebutaan matanya . buta , mendonorkan mata .",0
234,", merubah pemilih ? # iklanahokjahat",0
235,rt @ hariadhi : yg salah ? ahok ? iklannya ? bukan.. diprotes orang yg benar2 pake spanduk # iklanahokjahat https : //t,0
236,sampe gue blm ngerti dp rumah 0 % gmn skemanya . trs emg ya perbankan yg ngasih kredit rumah gak pakai dp ? # debatfinalpilkadadki,0
237,"# debatfinalpilkadadki anies gubernur pemimpin , administratur / pelayan masyarkt . melayani mencerminkan integritas .",0
238,"kalimat penutup anies ambisius , ahok maaf , karakter bohong . # debatpilkadadki # debatfinalpilkadadki",0
239,"pertunjukan serius gak diganggu , selamat @ aniesbaswedan gagasan nya # matanajwadebatjakarta",0
240,"rt @ belaquran : tdk terprovokasi dgn sentimen jualan sara mu , cinta indonesia # iklanahokjahat",0
241,umat suguhkan # iklanahokjahat menebar kebencian kerukunan umat beragama,0
242,polling anies - sandi menang . semoga h nya . # aniessandi,0
243,rt @ anjisudirman : @ fahiraidris yg iklankan kampanye ahox yg sebarin spanduk syariah brosur black campaign . # iklanahokjahat,0
244,"oke oce brand dimana , oke oce , kampung oke oce # debatfinalpilkadadki",0
245,"rt @ belaquran : sungguh sgt mengherankan , mengkampanyekan kebhinekaan tp menyebarkan islamophobia , kebhinekaan yg yg ?",0
246,"debat final pilkada dki jakarta , gagap , - adjat sudradjat",0
247,"pemimpin dikaitkan lisan , bedanya gubernur anak-anak ? # matanajwadebatjakarta",0
248,cerita djarot diharapkan pendukung berdamai . # debatfinalpilkadadki # temanahok # aniessandi,0
249,cuman bilang serius banget ngetweet pakai hastag # iklanahokjahat `` gitu aja baper '' .,0
250,ira koesno didekati anies-sandi marahi pendukung paslon debat pilkada dki,0
251,"alhamdulillah ya allah swt semoga jakarta gubernur yg bersahaja , bersahabat utk # aniessandi",0
252,jelang larut semalam . diskusi aktifis golkar tingkat kelurahan . bergabung pemenangan # aniessandi,0
253,rt @ alayyubichoir : sosok anies sandi diakui sgt mengayomi . kompeten utk membangun kerukukan & kebhinekaan jakarta,0
254,rt @ nielchen99 : ngomong manis gampang giliran kerja bingung # matanajwadebatjakarta,0
255,19 april warga jakarta menentukan ibukota,0
256,"rt @ maharanisinta70 : terimakasih anies pemaparantentang dp 0 , solusi warga jakarta rumah nyewa .",0
257,"perhatikan , tim mas @ aniesbaswedan sibuk ngoceh @ basuki_btp programnya . gak ngurus ?",0
258,"kalo pilih gubernur yg jujur , kerja nyata , anti korupsi , , pinter , mlyani rakyat iklas & peduli pilih ahok djarot , ..",0
259,rt @ anies_sandi : merangkul menegakkan hukum . kepemimpinan hadir contoh & perbuatan - @ aniesbaswedan,0
260,"hasil kerja ahok djarot sungai jakarta normal , bersih enak dipandang",0
261,"ahok & anies baiknya , bagusnya , okenya . yg kepilih yg menang rakyat jakarta",0
262,"semoga basuki presiden , indonesia maju .",0
263,"allah swt tdk butuh . butuh allah , rezeki , hidup matimu . allah yg tentukan . khianati allah ? gak nyesel ? # sidangahok",0
264,# sidangahok dilanjutkan rekaman memuat kampanye ahok dpp nasdem pulau seribu . | @ adrieedu https : //t.co/8p5p4ducfg,0
265,rt @ januromank2626 : ahok bebas hukum keadilan kelanjutan perbaikan dki . semoga hakim mmpunyai sense of justice,0
266,pembangkit listrik tenaga panas bumi terbesar dunia.. # citipeka # sidangahok # tebak2anhajidjarot https : //t.co/ktxdxzsh8h,0
267,"rt @ findririn : toleransi , muslim menjalankan perintah agamanya , non muslim menjalankan agamanya .",0
268,"rt @ findririn : teman setia , dihindari jd pemimpin",0
269,kejujuran pahala dr surga # freeahok,0
270,mah basuki bebas ya ? # freeahok https : //t.co/mw3k0vywef,0
271,"rt @ ruridajihandari : sidang drama korea sampe 20kali , menunggu sidang ahok season 2 nih ... kayaknya goblin mah kalah pamornya",0
272,", transportasi online manakah `` tarif murah , aman & nyaman '' melayani ? ? ?",0
273,nelayan jakarta disiapin pulau khusus pemda dki # lunchbreak # sidangahok,0
274,adakah potensi radikalisme pilgub dki jakarta ? # lunchbreak # sidangahok,0
275,"rt @ novenstjk : siaran ulang # ahokdjarotdirosi malam , saksikan yuk @ kompastv # ahokdjarot # temanahok",0
276,"org '' yg salah yg takut dgn doa , salah ? ? takut ? ? ? bertobatlah doa dinyatakan ,",0
277,selamat pagi met aktifitas happy weekend semoga orang jujur biar hidup slalu mujur aamiin # freeahok,0
278,"ahok dituntut 1 penjara . divonis bebas . , warga dki terlanjur kehilangan pemimpin terbaik . # freeahok",0
279,alhamdulillah tuntutan jaksa 1 percobaan 2 yg sbnrnya jaksa mengakui kalo ahok bersalah # freeahok,0
280,kalah menang # tetapahok . terimakasih krn ngasih pelajaran kerja keras utk rakyat dgn bersih .,0
281,"pilkada serentak , megawati intimidasi politik uang https : \/\/t.co\/zhhvj4qrry",0
282,# thw911 anies-sandiaga doa ustaz debat pilkada https : \/\/t.co\/2odlryteu1,0
283,lelah mengabdi indonesia @ basuki_btp . # tetapahok !,0
284,"@ laitssaja menang , anies rangkul paslon menang kontestasi pilkada https : \/\/t.co\/kg40ytelwx",0
285,@ laitssaja tni-polri bersinergi jaga keamanan jelang pilkada dki tni polri bersin https : \/\/t.co\/hp77i9lffg,0
286,@ novie_wednes72r bismillah inshaa allah agus sylvi menang pilkada dki 1putaran pemimpin yg amanah mencintai rakyat jakarta .,0
287,trima kasih uda bikin jakarta menjabat ... .,0
288,@ nu_online sikap ketertiban keamanan kota negara menjelang pilkada dki jakarta,0
289,rencana tuhan rencana manusia . ahok bs kebih posisi,0
290,kalah tp terhormat mendukung badja # terimakasihahok,0
291,basuki tp ahok wawancara informal wartawan balaikota : https : \/\/t.co\/g7ib5h5rul,0
292,"terimakasih ahok @ basuki_btp # tetapahok kalah , selamat gubernur",0
293,lucu ! ! yuk ahok promosikan musik dangdut tamu mancanegara,0
294,"minggu tenang pilkada , ahok fokus kerja balai kota : peresmian-peresmian rptra csr ditunda .",0
295,mantab ! ! ahok pemprov dki jakarta terjunkan alat berat keruk sampah waduk pluit,0
296,pagi polrestro bekasi gelar pasukan pilkada https : \/\/t.co\/yprv5nnjsb,0
