,text,hs
104,schiff entern zuruck schleppen versenken,1
105,kennt musels.ist halt hinterhaltiges pack .,1
106,kennt musels.ist halt hinterhaltiges pack .,1
107,"tja ... konnt gestern fatima roth zdf bewundern leute nazis macht fluchtlingsfrage meinung ... .die dame afd punkt gebracht ... .wir deutschland gesetze fur asyl zustandig ... ..da gepruft jemand politisch verfolgt , minderheit heimat angehort verfolgt ... .usw ... .da tauchen fur fragen : ... ... .wer pruft eigentlich wahrheitsgehalt menschen her kommen ? ? ? ? ? kleine scheiss beamte ? ? froh 16.00 uhr ? ? ? ? nachte frage ware ... ... wozu gibt uber haupt gesetze mal durchgesetzt ? ? ? ? ? ? ? deutschlan leben offiziell ca . 65000 menschen deren asylantrag abgelehnt wurde ... ..was bitte ? ? ? ? ? ? ? ? ? ? ?",1
108,"tja ... konnt gestern fatima roth zdf bewundern leute nazis macht fluchtlingsfrage meinung ... .die dame afd punkt gebracht ... .wir deutschland gesetze fur asyl zustandig ... ..da gepruft jemand politisch verfolgt , minderheit heimat angehort verfolgt ... .usw ... .da tauchen fur fragen : ... ... .wer pruft eigentlich wahrheitsgehalt menschen her kommen ? ? ? ? ? kleine scheiss beamte ? ? froh 16.00 uhr ? ? ? ? nachte frage ware ... ... wozu gibt uber haupt gesetze mal durchgesetzt ? ? ? ? ? ? ? deutschlan leben offiziell ca . 65000 menschen deren asylantrag abgelehnt wurde ... ..was bitte ? ? ? ? ? ? ? ? ? ? ?",1
109,haken nehmen ausgangshafen zuruckschleppen !,0
110,immer weien hai braucht nahe : ),1
111,immer weien hai braucht nahe : ),1
112,hilft eins boote unten anbohren . gebraucht gewollt,1
113,hilft eins boote unten anbohren . gebraucht gewollt,1
114,zuruck denen,0
115,islam gehort strafe verboten .,0
116,"grossten not , tun menschen grausames . pfui teufel ? ? ? ? ?",0
117,"viele kommentare gelesen feststellen , genau unuberlegte aussagen politiker aufschreckt nachdenken animiert . ausgewahlten worten , politik beeinflussen . hass ( predigten ) erreicht gerade mal gegenteil . wahlen parteidemokratoren abstrafen . richtig ware , frau petri ( afd9 argumentieren , asylanten immer ubergangsbleiberecht beantragen konnen . ca . 30 % ankommenden . 70 % sollten sofort zuruckgewiesen . kommentar , muslime warfen christen meer , wahrheit entspricht , kirche stellung beziehen . wiederum staatszuschussen abhangig . wer assylantenheim troglitz anzundete ja immer nachgewiesen , medien stimmung zerstoren gesellschaft . eigentliche schuldfrage fur fremdenhass bundesregierung steigbugelhaltern ( landesregierungen , landratsamter usw . ) zuschreiben lassen . a ... .. hose .",0
118,"warum schutzt italienische kustenwache verbrechern ? ? ? ersten 5 boote versenkt wurden , esw vorbei spuk ! !",1
119,"warum schutzt italienische kustenwache verbrechern ? ? ? ersten 5 boote versenkt wurden , esw vorbei spuk ! !",1
120,"sofort ort stelle einfach versenken , rum spricht mehr viele versuchen europa kommen .",1
121,"sofort ort stelle einfach versenken , rum spricht mehr viele versuchen europa kommen .",1
122,moslems gewohnt.das pack mitlerweile morden hinterhaltig toten .,1
123,moslems gewohnt.das pack mitlerweile morden hinterhaltig toten .,1
124,neonazis schon recht drecksauslander gehoren vergaast mal mer freundin einkaufen gehen 2drecksturken eingang dumm anmachen asozial sowas un staat macht nix auslander raus ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
125,neonazis schon recht drecksauslander gehoren vergaast mal mer freundin einkaufen gehen 2drecksturken eingang dumm anmachen asozial sowas un staat macht nix auslander raus ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1
126,sobald muslime mehrzahl fangen automatisch gottesstaat errichten . terror nimmt lauf .,0
127,ganze schiff versenken bundeswehr jagd versenken,1
128,ganze schiff versenken bundeswehr jagd versenken,1
129,na gute .traumatisierte kindlein halt . ?,0
130,"groe worte , jugendbande zerschlagen ...",0
131,macht mal banden grostadten versager drogen menschenhandel,1
132,macht mal banden grostadten versager drogen menschenhandel,1
133,scheis nazis,1
134,scheis nazis,1
135,russen !,0
136,facharbeier,0
137,darf ja nix sagen gleich rechten ecke gestellt .,0
138,45 geboren schulde rest welt scheissdreck ! dreckspack einbrechen wurde-ich wurde bullen rufen-aber die-garantiert !,1
139,45 geboren schulde rest welt scheissdreck ! dreckspack einbrechen wurde-ich wurde bullen rufen-aber die-garantiert !,1
140,"schone kommis , geht runter schweineschnitzel , ...",0
141,@ 137c9c6970afb7fc daran schlimm rechten gestellt sage immer offen meinung schei auslandern egal andren denken sagen finde sollten mehr endert staat nie gibt wenige neonazis sagt meinung offen schei kanacken solln raus land ! ! ! ! ! ! !,1
142,@ 137c9c6970afb7fc daran schlimm rechten gestellt sage immer offen meinung schei auslandern egal andren denken sagen finde sollten mehr endert staat nie gibt wenige neonazis sagt meinung offen schei kanacken solln raus land ! ! ! ! ! ! !,1
143,"kriminelle auslander hinrichten ! eiern aufhangen , ganze familie auspeitschen ausweisen.an grenze solange knuppel kopf hauen gedanken deutschland dauernt angst hose scheien ,",1
144,"kriminelle auslander hinrichten ! eiern aufhangen , ganze familie auspeitschen ausweisen.an grenze solange knuppel kopf hauen gedanken deutschland dauernt angst hose scheien ,",1
145,furchterlich,0
146,"eltern wohnen , konnen kommen , zwei meter en schlagring , baser totschlager gebunkert , polizei erst gerufen invasoren tot !",1
147,mochte altes deutschland,0
148,"wurde finden schwer verletzen . moglicherweise konnte sogar hinkriegen , erwischt . eltern 77 . wer anfasst , erledigt .",0
149,"fallt : niemand fremdlandern gesagt . na ja : 99,8 % warscheinlich , osterreichische buben : -/",0
150,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1
151,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1
152,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1
153,"schei drauf grune gesox denkt : paar tagen berlin unterkunft fur kriminelle asylbewerber gebrannt . kriminelle asylbewerber = doppelt nichtsnutzig , ruhig benzin feuer gieen konnen .",1
154,... darf sowas ja beim namen nennen-herr pleitgen dagegen auslander benannt,0
155,"fruher wurden denen hande abgehackt , zeiten , gestreichelt",1
156,"fruher wurden denen hande abgehackt , zeiten , gestreichelt",1
157,wirtschaftskrise macht grenzen dicht .,0
158,fachkrafte,0
159,fachkrafte `` dringend '' brauchen frau merkel gesocks,1
160,fachkrafte `` dringend '' brauchen frau merkel gesocks,1
161,"wieso deutschland , sofort abschiebung , samt familie.und kriegen geld deutschland , klauen konnen , widerliches deutschland , tut entlich ...",0
162,gleich erschiessen !,1
163,gleich erschiessen !,1
164,7 leute klauen 400 fahrrader ?,0
165,"gibt deutsche , sowas leute : d",0
166,fur wichser taterschutz ? lachhaft !,1
167,fur wichser taterschutz ? lachhaft !,1
168,hoffe asylbefuhrworter mal besuch leuten kriegen .,0
169,gleich erschiessen !,1
170,gleich erschiessen !,1
171,"facharbeiter , ganz klar ! ! !",0
172,"sieht wien schei kosovoalbaner , immer sofort raus pack",1
173,"sieht wien schei kosovoalbaner , immer sofort raus pack",1
174,rumanischer bettler .,0
175,ruckfahrkarte .,0
176,erkenne . egon . sicher ralf klaus gegend unsicher gemacht ?,0
177,"8acea189036f77df , deutsche auslaender , groesste einwanderungsgruppe ... .sagt ? ?",0
178,kommt uckermark ?,0
179,"... ... lasst leute mal schwer arbeiten ( 10-12 std./tag ) , aufenthalt antragsstaat bezahlen , vergeht pobelei , schlagerei , , . vieleicht hause .",0
180,albaner tschetsche sau ja genug davon,1
181,albaner tschetsche sau ja genug davon,1
182,zeit islamisten licht knipsen .,1
183,zeit islamisten licht knipsen .,1
184,lol gibt auslander mist bauen . xd : d,0
185,"tja , einfallsreichtum . auslandern/migranten lernen heit siegen lernen .",0
186,na servus . einzelfalle ? ? ?,0
187,menschenschrott darf,1
188,menschenschrott darf,1
189,ja dicken minister mitglieder heidiebummsvallera,0
190,gab bestimmt > > > >,0
191,langer zeit ? kommt schon fragwurdig . niemand 8 jahren mitbekomm ? klar ( wers glaubt ) ... europa infiltriert bzw . infiziert ! gerade tagen immer deutlicher .,1
192,langer zeit ? kommt schon fragwurdig . niemand 8 jahren mitbekomm ? klar ( wers glaubt ) ... europa infiltriert bzw . infiziert ! gerade tagen immer deutlicher .,1
193,raus mauer aufbauen,0
194,http : //goo.gl/wlc7qw irrtum ... . klar i schworre,0
195,scheiss gsindl,1
196,scheiss gsindl,1
197,"schuss knie , laufe leben !",1
198,"schuss knie , laufe leben !",1
199,linke grune,0
200,"aufhangen , kosten steuergeld ( verschwendung )",1
201,"aufhangen , kosten steuergeld ( verschwendung )",1
202,"na geh , ja , wenig unterstutzung erhalten . 1.sicher menschen , gebildeter 2.der ubliche bedauerliche einzelfall *kotz*",0
203,tod strang,1
204,tod strang,1
205,sag immer raus deutschland dreckspack,1
206,sag immer raus deutschland dreckspack,1
207,fragt warum religion leiden,0
208,schei islam,1
209,schei islam,1
210,"wer leute rein lasst wundert , benehmen heimat . grunde verstanden , warum organisationen pegida strae gehen . wacht endlich .",0
211,"soweit gekommen , angst eigenen land mussen , armes armes deutschland.raus bande , verloren .",0
212,"pack tag nacht gejagt , ehe deutschen ! !",1
213,"pack tag nacht gejagt , ehe deutschen ! !",1
214,gesindel .,1
215,gesindel .,1
216,dreckspack gehort sofort raus,1
217,dreckspack gehort sofort raus,1
218,idioten braucht schwein,1
219,idioten braucht schwein,1
220,"unsagliche islamisten pack gehort sofort abgeschoben . pegidaner gehen umsonst woche strae . buckbeter image zuschreiben dafur uber jahrzehnte europa gesorgt . sehe schon guterzuge rollen , diesmal kz 's gen nahen osten .",1
221,"unsagliche islamisten pack gehort sofort abgeschoben . pegidaner gehen umsonst woche strae . buckbeter image zuschreiben dafur uber jahrzehnte europa gesorgt . sehe schon guterzuge rollen , diesmal kz 's gen nahen osten .",1
222,seid einfach sorte menschen sack packen merkt innerlich lebt adolf,1
223,besten schon gestern,0
224,"`` illegal '' wirklichkeit untersuchen : perverse unterdruckung spezialisierten fruher besonders gut religioten art , heute speziell moslems etablierten politschweine brd eu sowie lugenpresse .",1
225,"`` illegal '' wirklichkeit untersuchen : perverse unterdruckung spezialisierten fruher besonders gut religioten art , heute speziell moslems etablierten politschweine brd eu sowie lugenpresse .",1
226,"`` illegal '' wirklichkeit untersuchen : perverse unterdruckung spezialisierten fruher besonders gut religioten art , heute speziell moslems etablierten politschweine brd eu sowie lugenpresse .",1
227,"`` illegal '' wirklichkeit untersuchen : perverse unterdruckung spezialisierten fruher besonders gut religioten art , heute speziell moslems etablierten politschweine brd eu sowie lugenpresse .",1
228,recht geben .,0
229,"sollten lieber angeklagt , ganz mulm europa holen . sag ja immer franzosen ahnlicher denkt , sozusagen westlichste bundesland .",0
230,"wer wahrheit sagt , angeklagt",0
231,habt lust blasen ?,0
232,"ja , egal sagen , immer nazis dargestellt . einfach angst groe angst kultur . treffen welten aufeinander . gestern gruppe auslandern vorbei dumme bemerkungen gemacht kopftuch trug . pfefferspray gekauft , sehe , wehren darf . leben freien land recht meinung sagen .",0
233,bestes beispiel auto wurde geklaut schrottgefahren,0
234,postet mal deutschen kriminellen . findet mal wen schreiben wurde deutscher christlichen hintergrunden gemacht,0
235,rechtsverdreher unteren 10.000 kennt eben .,0
236,"gefallen lassen , genug , reicht , wen reden bringt mu eben gehen ... asylanten mehr schwarze kriminelle schon garnicht raus deutschland pack ...",1
237,"gefallen lassen , genug , reicht , wen reden bringt mu eben gehen ... asylanten mehr schwarze kriminelle schon garnicht raus deutschland pack ...",1
238,tausende taliban is wer ! lassen ausbilden boom ! mann brauch einzigen davon deutschland / europa !,0
239,"richtigen fluchtlinge lassen zuruck geben , 100ten nem boot treiben . uberleben : fast unmoglich . denk mal , warum trzd fluchten . stinks ja wohl selber",1
240,gehort nachste laterne geknupft !,1
241,gehort nachste laterne geknupft !,1
242,genau fachkrafte braucht staat,0
243,na super mussen wohl kopfe furchten .,0
244,"na denkt viele abschaum schon ! ! ! linken grunen sagen ja , harmlose fluchtlinge ...",1
245,"na denkt viele abschaum schon ! ! ! linken grunen sagen ja , harmlose fluchtlinge ...",1
246,"passiert ? ! ! ! sogenannten `` guten deutschen '' mussen erst diskutieren , menschewnrechte verletzt werden/wurden . kriegt tolle bleibe , freie krankenversorgung , freien busausweis , immer wqunschzettel !",0
247,selbe damals 89 mit unserer elterngeneration . gedacht bekommen westen goldene kalb serviert gut kopf gehauen `` ruber '' konnen kindern ging denen zone zuruckgelassen blode sau interessiert . festzustellen `` '' gold glanzt,0
248,ovp/spo - reicht grunen osterreichs - nein danke !,0
249,raus drecks pack,1
250,raus drecks pack,1
251,eu holt terror her ! total bescheuert ? ? ? ? ? ? mull ! reicht langsam ! ! ! ! !,1
252,eu holt terror her ! total bescheuert ? ? ? ? ? ? mull ! reicht langsam ! ! ! ! !,1
253,einzige bleiben,0
254,steht nie bildzeitung,0
255,passiert ratte,1
256,passiert ratte,1
257,lassen pest land,1
258,"na , is , kopf ab .",1
259,"na , is , kopf ab .",1
260,"3.000 , - 15.000 , - euro fur flucht . soviel geld nie hand gehabt . konnte tuchtiger mensch uberall neues leben aufbauen . gerade afrika ! ! !",0
261,"fest genommen , verhort fur immer eingesperrt ! ! nein spa xd kommt schones fluchtlingsquartier platz technick , gegenuber kindergarten angrenzenden spielplatz immer lang gehn .",0
262,woher nehmen geld ? ? ? ?,0
263,boot zuruck ab,0
264,keuzfahrt kabine fenster balkon buche mu mehr bezahlen.wurde interresieren butler kostet .,0
265,zuruckschicken..,0
266,": v hallo freunde !  zeig , mohammed neues gebracht , schlechtes inhumanes finden , vorgeschrieben , glauben , predigte , schwert verbreiten.  *** `` zeig , mohammed neues gebracht schlechtes unmenschlich , befehl , schwert verbreiten glauben , predigte , finden . '' +++ papst benedikt xvi berufung byzantinischen christian kaiser , xiv jahrhundert , manuel ii palaiologos ,  aula magna  universitat regensburg ( ratisbona ) , deutschland , jahr 2006. : ) ? lasst beten umwandlung franziskus kardinal bergoglio ! ? ; ) / teilen :  genieen  /oder  aktie  : himmelfahrt herrn jesus christus . ( christi himmelfahrt ) https : //www.facebook.com/photo.php ? fbid=249737181834189 & set=a.125480024259906.21621.100003937266126 & type=1 & theater +++ herr bonfim ( beruhmter hingabe bundesstaat bahia , brasilien . ) https : //www.facebook.com/photo.php ? fbid=494622750678963 & set=a.125480024259906.21621.100003937266126 & type=3 & theater  hoc signo vinces ! ! ! ",0
267,wenigstens schlepper davon leisten konnen ja geld brauchen merkel co mut mal ganz kurz daruber nachdenken tun steuergeld sparen ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,0
268,kommt zeitung preisen.waren personlich vorort fragen,0
269,uberlegt mutter + balg steuerzahlern kostet ... ! macht augen ! ! ! 111,0
270,"schlechte maximal hetzende bericht erstattung . weniger journalist , menschen kopf glauben ...",0
271,"schlieen ganze familie verwanten sofort abschieben-jeder kriminelle auslander , gleich ganzen familie abgeschoben , passen altern fieleicht jungern ...",0
272,mutter schlimmer !,0
273,scheiss nazis,1
274,scheiss nazis,1
275,wixxer nazi haltet fresse,1
276,wixxer nazi haltet fresse,1
277,schei islamisten eigentlich bezeichnen ? restmull sondermull ! ! ! ! ! ! ! ! !,1
278,schei islamisten eigentlich bezeichnen ? restmull sondermull ! ! ! ! ! ! ! ! !,1
279,jawol direkt raus kriminellen,0
280,bedauerlicher einzelfall ? ? ? ?,0
281,"gute daran , pack legt selber",1
282,"gute daran , pack legt selber",1
283,egal woher kommen . straffallige auslander gehoren raus ausnahme,0
284,mehr wegzudenkender facharbeiter ?,0
285,"drecks albaner ! ! zwei jahren 2012 mist schweine ficker albaner freund erschossen wegen ! ! ! sollen zuruck albanien verpissen gegenseitig abknallen ! drecks volk ! ! ! raus , pack ! !",1
286,"drecks albaner ! ! zwei jahren 2012 mist schweine ficker albaner freund erschossen wegen ! ! ! sollen zuruck albanien verpissen gegenseitig abknallen ! drecks volk ! ! ! raus , pack ! !",1
287,sofort abschieben,0
288,sofort raus ! !,0
289,"polizist schaut , nen geist gesehn : d",0
290,"fehden ausgetragen , autos zusammengeschraubt",0
291,drecks pack,1
292,drecks pack,1
293,wenigstens gegenseitig ... ... ... ... ... .,0
294,"solls , wenns dadurch weniger pack ,",1
295,"solls , wenns dadurch weniger pack ,",1
296,schade auto wohl leider langsam ! ! ! !,0
297,nervt langsam schei,0
298,zirkus sollen land veranstalten,0
299,warum polizei beiden serben streit ende fuhren lassen . heute zwei probleme weniger .,0
300,wars eigenen schei kummert ? : d,0
301,"gut gemacht super regierungspolitiker . staat mehr fur sicherheit burger sorgen - irgendwann hand nehmen . seid schuld daran , staatsburger land immer radikaler !",0
302,"deutschland , `` einzeltater '' lacherlich politiker",0
303,einzelfalle ! ! ! ! warum beschweren ? gewollt brauchen facharbeiter,0
304,"kay . finde auslander , sud-osteuropa kommen ganz nett . mag bisschen action strae bringen . langeweile mehr .",0
305,"wieso 15 jahre , mord ...",0
306,siebeneinhalb jahre fur menschenleben ...,0
307,bedauerlicher einzelfall-wie immer .,0
308,"todesstrafe ware besser , eigefuhrt ,",1
309,"todesstrafe ware besser , eigefuhrt ,",1
310,2 jahren raus .,0
311,"a witz , 5 draussen ! abartige justiz",1
312,"a witz , 5 draussen ! abartige justiz",1
313,"sudlander kinder , daher milderne umstande , sudis wissen wann trannenduse aktiviert .",0
314,"moslem recht alte kalt , minderwertig fur , gebahrmaschine fur typen .",0
315,"lol ja bose bose kiffen , leute kommen freien fu , erzahlen ; solange einsitzt .",0
316,"mord lebenslang geben , scheissegal freggel herkommt . deutsches land , deutsche gesetze .",0
317,"ach einzelfall , warum lebenslanglich ?",0
318,bosnien : moslem ? ? betimmt .,0
319,wenig,0
320,affen seit untergebildet reicht beim schlagen vater filmen pedos,1
321,affen seit untergebildet reicht beim schlagen vater filmen pedos,1
322,tierschutzer ! gesochs raus,1
323,tierschutzer ! gesochs raus,1
324,einzelfall ! ! !,0
325,neuen facharbeiter eben :,0
326,warum hangt abschaum ?,1
327,warum hangt abschaum ?,1
328,auslander dreck,1
329,auslander dreck,1
330,raus deutschland dreckfressen,1
331,raus deutschland dreckfressen,1
332,raus pack,1
333,raus pack,1
334,ware dafur,0
335,"warum kreaturen ganz einfach deutschen knast 5 sterne-hotel vergleichen , mussten behandelt weren se herkommen ganz einfach",0
336,"ja , deutsche polizisten deutsche kampfflieger deutsche raketenstationen mitten tirol , ausladerkriminalitat ! ebenso - sicht - kriminellen tagungen , tage auslanderkriminalitat bedingen ! ! ! ditie",0
337,deutschland deutschen ganz einfach ! ! ! !,0
338,"hieen deutschen straftater osterreichischen kriminalstatistik ? etwa murat , ali , chem aiche ?",0
339,? ? ? ? fur hurensohne,1
340,? ? ? ? fur hurensohne,1
341,thema https : //pbs.twimg.com/media/ciifweaw8aamp34.jpg,0
342,"..die frau gab beamten protokoll , gatten wiederholt geschlagen , gewurgt eingesperrt worden sei . schlagen gezwungen , -- -- -- -- -ein kopftuch tragen -- -- -- -- -- . ... ... .daher weht wind ... ... http : //www.kleinezeitung.at/s/steiermark/chronik/4760631/graz_altes-gutachten-stufte-amokfahrer-als-verlaesslich-ein",0
343,"`` follower '' , ?",0
344,erklaert : (,0
345,"na stumm geworden hetze gesehen , traurig !",0
346,bleiben lichterketten demonstrationen ? gibt fuer opfer ? ? ?,0
347,affen seit untergebildet reicht beim schlagen vater filmen,1
348,affen seit untergebildet reicht beim schlagen vater filmen,1
349,ja drei jahren stellt sogenannter psychologe freifahrtschein drehen . sowas wegsperren zubetonieren,1
350,ja drei jahren stellt sogenannter psychologe freifahrtschein drehen . sowas wegsperren zubetonieren,1
351,"kommentar ... .. benehmen schwein , begehen straftaten , bekommen keinerlei konsequenzen ... unmoglich ... . o.o",0
352,"gefallt , ehemalige rote burgermeister graz , nagl , hautnah miterlebt , gesindel , graz geholt sagen darf , verhalt . multikulti super , genosse nagl ?",1
353,"gefallt , ehemalige rote burgermeister graz , nagl , hautnah miterlebt , gesindel , graz geholt sagen darf , verhalt . multikulti super , genosse nagl ?",1
354,asoziale familie ganz einfach ausrotten .,1
355,asoziale familie ganz einfach ausrotten .,1
356,"typisches balkangehabe , ... ... erschuettert wenig-ist deren `` kultur '' stur beibehalten . haette nie sissi dorf heiraten , nein fahr ma schlechte heimat ja verlassen importiert gleich ... ..unfassbar zugesehen . m.e . verbrechen behoerden auffuehren ... ..",0
357,durchgeknallter auslander rechtfertigt pauschalen auslanderhass .,0
358,affen seit untergebildet reicht beim schlagen vater filmen,1
359,affen seit untergebildet reicht beim schlagen vater filmen,1
360,wer kommt deutschland !,0
361,immer schon aufpassen wachsam .,0
362,"fur'n `` religioser '' extremismus ? ? islam religion hort endlich religion behandeln ! ! erkennt endlich religionsstatus ab , macht vieles einfacher ! !",0
