,text,hs
31,asi piensan putos moros mierda vienen s pais . asco https : //t.co/ky4lbnuyrm,1
32,armar complot matar presidente saben ... # sudacas..,1
33,"@ pepebeisbol deja dolor , maldito resentido . primera perra magayllinera siempre pendiente hace leones . madre cogio caraquista resentimiento , pajuo ?",1
34,"si ensenaron compartir , perra ! ! !",1
35,diferencia comida mexicana comida arabe da diarrea diarrea explosiva,1
36,"romperles puta cara asco dais , mereceis peor pase babosos , machistas cerdos mierda . https : //t.co/9pxsffccpa",0
37,"zorra abuela , imbecil .",0
38,callate maldita zorra . nervioso . https : //t.co/nqclcxbttk,1
39,"karma existe , algun dia recibiras mereces haber sido tan hijx puta",0
40,"mira , puta polla ver coreanos tl solo twitter decide buena idea ensenarme putos likes gente , verdad , putos cojones ver tontos .",0
41,puta madre finn chiellini puro loco gracias benatia mereces pinche cielo # forzajuve vamos juventus,0
42,@ somosredsaime amigos saime nombre walter perez v-13.899.989 wperez001 @ gmail.com 16/03/2017 cita aun imprimen pasaporte indocumentado extranjero ayuda porfavor necesito urgente gracias . @ nestorreverol https : //t.co/yydkmq9mxs,0
43,"@ pankedios @ barbijaputa historia popular inventa pueblo . decide inventarse parte , aprovechando provocar gente . tio molesta ver poneis corregir ciertas gilipolleces mientras q luego escandaliza",0
44,@ kanouted10s @ kike57108578 dice claramente novia sevillista puta mas ... evidentemente refiere sevillistas putas,1
45,"alegro paso puto negro colombiano tetela volcan , extorsionar gente pais aunque poblano alegro deberian hacer sudacas centroamericanos vienen delinquir pais ... hijos puta lacras .",1
46,@ acciomalfxy jajajajajajajajajajajajajajajajajajajajajajajajajajaja puta madre mereces usarme meme siempre,0
47,terrible tema activar arabe papichamp jaajaaja,0
48,"sone q decia simon poxyran q novia re linda q enamorada juan , re puta madre si tan solo real",0
49,"triunfador . publicaciones redes sociales exito , vi subiste muchas fotos guitarrista guero ano , chingo encorazonas . hora celebrarlo mejor manera , comprando amazon perdido mercado libre",0
50,"mas rosas mas sonrisas . mujeres gritando zorra guarra , puede ser mas imbecil ? # 21darv https : //t.co/pdac5cpmza",1
51,"`` musica arabe , rachid taha cancion `` '' rayah '' '' , hermosa cancion voz diga ... # mexico https : //t.co/w5ve3rqced https : //t.co/w5ve3rqced ''",0
52,"gente opina aborto jamas sido madre , pasado alguna violacion acoso ... https : //t.co/twuzlrne8m",0
53,ser tonto poner tuit bomba foto nino polla cara mashup baneos,0
54,"provocacion , respuesta . hijos puta tiras piedras rompen vallas , lloren caguen palos",0
55,"@ caraotadigital tocoron perra , culpable",1
56,"mientras , inmigrantes tipo ayudas . mas 3,5 millones espanoles viven menos 350 euros mes https : //t.co/4po0xeidkl via @ lasextatv",1
57,@ oliviagolosa @ aracojelona pues abre grande ocico perra voy meter vendre cara zorra pendeja dignidad,1
58,`` jajajajaja senora pasa . refugiados inmigrantes ilegales . si piensas tratar pobres refugiados creo deberias observar alrededor ver aqui mucha gente pobre conceden `` '' estatuto '' '' hablas https : //t.co/n7amognmnq '',1
59,"enserio salvaron piquin ? vigna re merecia ser salvada , coreo transmitio alegria hermosa.la re puta madre",0
60,"embajada venezuela emiratos arabes unidos condena atentado terrorista presidente @ nicolasmaduro . mundo arabe condena vil acto pais , pueblo , daran cabida tan miserable accion @ nicmaduroguerra @ cancilleriave @ jaarreaza @ catiacandanga https : //t.co/5g6zl2bzbg",0
61,mmmmm mas kerias ensenar chchis pinche bieja puta ! ! ! !,1
62,negratas asquerosos pasa anda si hace blanquito femi nacis comen https : //t.co/ed280bvd9e,1
63,@ alvenef @ leavieilletoile callate perra,1
64,injusto ... hijos puta mereciais empate xd @ cdeportivolugo,0
65,"@ muyliberal calles carcel , hacer puta vez",0
66,"@ dselenaaaa callate zorra seguro 9174829283 chicos , importa amas mas seguro extranas abrazos , fin .",1
67,"puede permitir tolerar , vayan hacer salvaje punetero pais estan civilizar ! ? - @ elconfidencial : mas 20 guardias civiles heridos , cal viva , tras salto valla ceuta https : //t.co/4nmcsxkvhk",1
68,vamos hacerlo ' ensenaron va conector medio hijo puta !,0
69,@ lopezdoriga culpa gobiernos corruptos arreglos escoria . ojala muera perra ...,1
70,"@ ivanantoniocam3 @ futbolstarscf lees , hijo perra",0
71,@ luiisspm @ youtube callate perra rato empedamos,1
72,@ multimediostv cierto danna paola gata asquerosa soportable zorra celosa fan camy g defiendo olla solo chavo aun asi defiendo leeiste oistes danna paola babosa,1
73,callate maldita escoria ! acaso sabes hablas ? ! hablas baron explodo kills mejor heroe u.a destrozara jodida cara mierda ! hare arrepientas metas asquerosas idioteces orto ! https : //t.co/lxqnhmqzfd,0
74,@ martharoldos @ fevillavicencio @ cleverjimenez69 callate zorra hdp,1
75,morra puso foto perfil sale bieeeeeen perra ensenando chicheee nalga ... alvvvvvvvv patas hobitt pedooooooooo,1
76,"`` nunca reconocido `` '' derecho retorno '' '' similar colectivo refugiados mundo , hecho , ningun momento planteo -ni plantea- similar mas 800.000 judios expulsados paises arabes tras independencia israel ''",0
77,"persona guarra alguien mantiene correcta higiene personal , ver ensenar cuerpo ?",0
78,# ciberactivismo revolucion # derechoshumanos # tunez . # mujeres primera linea # revolucion arabe . https : //t.co/2ufl6wubd3,0
79,ayer # tanger # morocco charlamos senora marroqui comento estan bastante hartos # inmigracion ilegal subsahariana . ocupan viviendas vacias luego acudir juzgado echar okupas,1
80,@ arnaldootegi @ osakidetzaejgv vascos puta madre siempre . hideputa .,0
81,"@ perraysex solo ladito , cuatro , penetrarte mereces puta , perra divina , mas zorra ! despues voltearte echarte leche garganta , casi poder respirar , llores goces mientras sientes leche caliente bajando garga",1
82,@ zurine3 llamarles intelectuales cosmetica traka . xddd ! cono panten hago cono quiero # alamierda,0
83,@ mendes98luks callate vos pedazo escoria # paraguayneedsshawn,0
84,"# buenviernes # mayate si banas esperes cobrar cena , guapos apestan .",0
85, inmigracion legal solo satisface 4 % necesidades agricultura  https : //t.co/58kborzmom,0
86,gusta comida arabe ? aprende hace falafel https : //t.co/ieyltd9smw # siguemeytesigo,0
87,dices super puta diste numero chamo conocias ... callate nina rata,1
88,bueeeen quilombo jajaajaj . merecias zorra,1
89,"@ iduvina zorra terrorista , imbecil ignorante sos vos .",1
90,"iglesias , carmena , otero , bardem wyoming ofrecen residencias inmigrantes ceuta https : //t.co/nmgbqjdcr6",0
91,@ jesussanchezji4 solo hago q ensenaron ser # puta,0
92,"culpa mia uuuuo , zorra novia quiere arrancar , culpa mia , uuuuo",1
93,funcionaria denuncia acoso violacion poder judicial : 'me violaron docena veces ' - # am1080 https : //t.co/5n4l5i7kzh https : //t.co/9ey5lgez1r,0
94,vicepresidente diputacion alicante disculpa tras pedir  deportaciones masivas  inmigrantes https : //t.co/zphcdch5ks,0
95,@ twocomunica @ gar12tel @ inesarrimadas @ ciudadanoscs 'bandera espana ' escoria mereceis cosa . https : //t.co/m5stq0sj7o,0
96,"hoy diversitas universos diversos visita paulo konig , juez tw . preparamos # 8a agenda , invitacion panuelazo # martesverdeendiversitas @ nadhyzu @ radio_sudaca @ faustosiriczma1 @ laromib https : //t.co/y5ewllw8f1",0
97,conscientes mal pasan perros culpa petardos polla,0
98,@ ro_valdess puta callate quiero tener pelo naranjaaa va quedar horrible negra,0
99,novia normal persona ponga tannnnn hija puta ? ? ? ? ? ?,0
100,"@ ah0gadx nerea callate puta boca , aprende jugar mas campeones chone",0
101,@ ketonto jajja digas tonterias . jordi respondido puta madre .,0
102,"pais debe supervisar inmigrante , lamentablemente parasitos posiblemente cometieron delitos # venezuela anarquia actual complace sigan delinquiendo . https : //t.co/d3vza6pm0f",1
103,bizcocho arabe coco { azucar } https : //t.co/xsyzexpfk5,0
104,@ nicolasmaduro callate jeta perra ano pasas,0
105,"@ stop2invasion nacionalidad mal otorgada comportamientos adientes voluntad integrarse etc..se puede retrotraer , asi menos happy inmigrantes queda quede sanchez",1
106,puta ana callate zorra .,1
107,@ hezmick autentico # cateto hables puta idea # payaso https : //t.co/0lqvdlr8ei,0
108,queda arabe ecko .,0
109,@ fabsopee perra pega cuernos grupo @ jeonyumii callada peligrosa @ nakamotonanii vale verga rompe corazones https : //t.co/kcnu6wpovu,1
110,"@ davidav92 callate zorra , mb , deja mios",1
111,rt asi vuelvo calafate jajajajjsjajs https : //t.co/r3x46ostfj,0
112,@ gvymc @ wismichu callate puta rata llorando ? ?,0
113,mira callate puta https : //t.co/ad88mh1adr,1
114,"voy andando calle dicho cosas arabe acosando dime espanol entienda , asique entiendo cagado puta madre arabe si .",1
115,"@ jsplassme callate perra , hija perra , sos perra",1
116,"pones maduro l frontera ? q sepa indocumentado pdn legitima . l q mostro tibitrampa fraude q mama dicese venezolana , nunca nacionalizo . cumples encargo maleante ? https : //t.co/xibew53u7l",0
117,", cide hamete benengeli , escribi historia caballero moro , enamoradizo aventurero ; mas algun mal cristiano dio imprenta madrid traduccion infiel ver tradicion noches arabes . https : //t.co/mqhsj9arxc",0
118,@ albert_rivera @ pablocasado_ parece postureo ceuta parece colado https : //t.co/2hkw22txnd,0
119,espanoles deberian avivarse vender subsaharianos arabia saudita ...,1
120,"@ oliver_youtube oliverga mierdanez , retrazado mental , escoria , & idolos estan llevando masas ignorancia ! terramierdistas m*erda universo ! retrasados mentales ! ! gente entendimiento ! mueranse terrami",0
121,mujer buscala delgada limpia gorda guarra volvera .,1
122,@ yan_lazarte jiditi pir vinir ... callate puta d mierda,1
123,@ blueeveins calles puta boca hombre ( hecho teclado va voz sabes llama ),0
124,@ natyburgos15 @ horaciogenta @ paolapa05 callate vos black and bitch puta falsa abogada . espero pudra carcel devuelva . dedicate estudiar serio . droga mala . cristina puta,1
125,"@ diegocruzva @ lila_tresmil @ relatofeminista cono va resistir pobre chica 3 tios violabdola desgracido ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! mejor , verguenza deberia dar ! verguenza ! ! ! ! ! ! !  ! ! ! ! ! ! ! !",0
126,pues remake alf parece estan preparando tendria si familia hispana papeles .,0
127,"@ janaberis1 @ edubronstein @ isaac_555 emocionado puede haber tanta hermandad arabes judios ... parte barbarie , solo odio puede unirles ... https : //t.co/21n1d8femp",0
128,@ ricardoalemanmx @ dparamooficial si claro ... mentiras dejado pobreza pueblo mexicano . callate zorra priista,1
129,"tal aporte anonimo puta esposa , asi dejo navidad ensenando calzones vecino rt siguenos @ tangasucia @ tangasrobadas https : //t.co/70ioujveqy",1
130,guero nalgas prietas # bryanmouquetrendy # cd9 # coders # kcamexico,0
131,: cerebro callate puta vez star wars cerebro : (    ) cerebro : das cuenta ... : mira ocurra cerebro : ... si darth vader reventado alderaan kylo seria principe disney,0
132,mirar n buen trasero buen escote acoso ? ?,0
133,# porsiempre corazon @ violeta_rumbo baja cielo abrazarme guera dep https : //t.co/nigmtpexpy,0
134,"puta idea . dices cierto . solo podran ser repatriados paises espana convenio . subsaharianos reaptria . marroquies , si https : //t.co/cwjtpsbn2r",0
135,maldita escoria repugnante inclinacion hombres.. seres producen nauseas ! https : //t.co/tahdcpzdnm,0
136,"si suerte abandona ves triste , zorra buitre come alpiste .",1
137,"bbc news mundo - shams rad , unica estacion radio gay mundo arabe https : //t.co/hrgye0muwn",0
138,ahhh.siiii ... idiota . paso fotos noche . hijo puta especial . pra si ... .,0
139,"`` satira ... cera ser realidad . cuidado islamitas , van conquistar `` '' pacificamente '' '' , reaccionen va ser demasiado tarde . solucion : sacar refugiados espana europa , enviarlos arabia . https : //t.co/l49wetah2y ''",1
140,@ suarezfeelings callate perra arrepentida,1
141,sabes mujeres enterralas atauld triangular ? tapas luz abren piernas .,1
142,@ valevitarb perra mayor,1
143,`` explicas patriarcado `` '' simios negratas '' '' vengas exigir explicaciones explicado hace anos https : //t.co/7vzzrnjnu1 '',1
144,"https : //t.co/dfraog9aqd gracioso pensar android saldria asi iphone pasaria simbolo arabe , va terminal directamente verga we",0
145,"londres crisis refugiados sirios violan ninas . harias si viola hija policia llama r ...  hijas disculpa , equivocaste persona ... . haria , trataria buscarlas ... https : //t.co/xt4ovttgul",1
146,hola rubius sigo desd calles puta boca importa,0
147,"# inmigracion , sabemos , mala , demostrado media # europa . debemos caer tentacion salpicar # soberania extremismos , defender , si , posiciones conservadoras radicales . mejor . rp",1
148,@ abril9979 callate pelotuda imbecil si sos hermosa proxima pego amo bye,1
149,"@ zonaesmeralda disfruta evento ! ! organizamos , banquetes ; menu tiempos , taquizas , flautas , tacos arabes , bar ensaladas , waffles bar , etc , gusto atenderemos ! ! https : //t.co/gdgdf0ftsd",0
150,@ danibisogno regresa guera limantur ? fa ! ! ! pequena aparicion @ ventaneandouno https : //t.co/74fnmawmxe,0
151,gueros https : //t.co/ybcypsepv3,0
152,"q pasa , q sindicatos manteros , puede sindicado tener papeles pasaportes q acrediten https : //t.co/gzsazud8xa",1
153,cara zorra,1
154,@ equipo_camila ... . bien puta # camilavallejo # chile https : //t.co/kvui1xiawb https : //t.co/sqmbri13wj,1
155,ex colaboradora # foxnews fustiga # murdoch llamar  tonterias  escandalos acoso sexual https : //t.co/pt02phdwgf https : //t.co/2inhs6it0p,0
156,"chicxs , recomiendo vean videos canal vean videos middle ground . sientan personas diferentes puntos vistas hablen temas creanme sido mejores video visto . pro-trump inmigrantes proaborto provida https : //t.co/7357cynkuz",0
157,llamo nobita gusta shizuka chica bonita gusta puta https : //t.co/8rsz7u5dvh,1
158,"jugador equipo canta 'mi novia sevillista puta mas ' tras derbi . pide perdon gente dice debe disculparse , canticos normales rivalidad . luego sorprendemos pasen cosas pasan ... https : //t.co/mmjizdi1xq",1
159,@ vanezampiniok aaaaaaa vaneeeee puta madre felicitaciones hermosa ! ! ! re mereces,0
160,@ perezcamilo0 @ pauyornetok callate voy bloquear hijo puta,0
161,talvez quede zorra mereces socia,0
162,# vox critica duramente  @ pablocasado_  da bienvenida si cartel welcome # carmena  expulsion inmediata moromierdas ! https : //t.co/haysdibj2l,1
163,@ afdlp hijo puta madre bien sabe .,0
164,@ criszis puta bebas bebas # seamoshonestos,1
165,"@ zoidoji primero agredes amordaza , adaptas supuestos delitos sale polla.menos lobos mas democracia conocen respetan .",0
166,dicen... si bueno decir mejor callate matate maldita perra arrogante ? https : //t.co/7dghohg6fs,1
167,"pobre jp merecia ser traicionado forma tan ruin sucia , zorra iba enamorada luego vota traicio ...  si ashley iba enamorada , jp perrito faldero chrissy asi nose ves q ... https : //t.co/wjlnyof1he",1
168,"@ ferdiazgil @ ilsecerouno01 @ compotita exacto . guarra egoista , venga detras busque vida .",1
169,agentes patrulla fronteriza usa detuvo grupo 95 inmigrantes # indocumentados desierto suroeste # arizona . # buildthewall https : //t.co/8z2f4pfwpm,0
170,"@ nicobolivariano si violasen moros mierda mas gusto daria putos nazis verian . fondo putas hace tiempo follan , joden lengua nazi . gusta mas ?",1
171,@ nicolasmaduro callate boca burro maldito ... q vas saber q contenian proclamas d bolivar ... . hijo gran puta maldito burro,0
172,retando facundo grita 'sh puta callate ' ! pendejo orto quiere hacer callar siquiera sale pronunciarlo bien !,0
173,"criminalizar manteros redundante ; manteros delincuentes forman parte cadena crimen organizado detras inmigrantes ilegales , mafias , empresarios nacionales , , , politicos .",1
174,@ anamacorrea75 @ mashirafael ser gata lejos ... perra zorra imbecil .,1
175,socialismo europeos aceptable . urss destacaba muchas cosas . izquierda sudaka peor planeta . sobretodo sincretismo satanico africano . piedad cordoba .,1
176,mereces mas escarnio publico hija perra https : //t.co/2mvpt5yopt,0
177,faltar respeto alguien ensenar teta polla . mas asco da juzgar ligera ponerme faltar respeto,0
178,"cuatro magrebies agreden brutalmente apunalan persona barrio raval , aquel ada colau mete ls inmigrantes q recoge . convertido gueto foco drogas , violencia delincuencia . secreto politica migratoria multicultural",1
179,"@ danlntifada @ fatinascidi @ manolivizoso @ zurine3 @ jvillaver2 https : //t.co/hg4ljnlwr3 , cono entonces guias cristo despues cristo , llegamos espanoles , contagiamos todas clases enfermedades europeas",0
180,... trabajadores inmigrantes # qatar reportaron recibir pagas menores prometidas pagaron cuotas poder trabajar ahi . pasaportes confiscados empleador llegada # qatar # fightracism # standup4humanrights # qatar # # spain https : //t.co/slfz68qdnb,0
181,"espana crea primer 'campo refugiados ' bahia algeciras https : //t.co/l7zmh2kvpn via @ elmundoes gran noticia contribuyente espanol . espanoles pagar , pagar . pensiones pensad pensiones . sanidad gratis podemos dejar pagarla ?",1
182,@ yolandamar3 musulmanes puta idea mujer . mujeres esclavas .,0
183,"# mercadoaxem problema papeles veterano arquero 43 anos carlos diaz arreglo llegada uruguay coronado . embargo , consiguio club . proximo destino sera rosario fc guatemala , dirige emiliano barrera . https : //t.co/g7mebduy0r https : //t.co/vcupaweapl",0
184,// creo algum vecino escuchando reggaeton claro suena si coges musica arabe metes autotune rollo robotico,0
185,@ habubus_ . mateo ahora mateo m voy puta,0
186,personas mania creer mujer sexy ser puta seguro pues dejen mojon mental .,0
187,"@ lalobrn vi cortometraje 35 min aproximadamente bueno , recomiendo , busca google 'una paciente guarra ' llama",0
188,"onda , estan modo arabes .",0
189,@ ginamayore1 jjajajajajajajaajja callate zorra,1
190,"noticia dia visita sonriente casado algeciras , visitar ceuta algeciras , guardias civiles heridos tras violenta entrada ilegales dia , sino grupo subsaharianos entrado pais forma igualmente ileg",1
191,"@ noah_schnapp merecia nominacion , puta madre temporada .",0
192,"@ nicolas_massot callate golpista hijo puta . descendiente asesinos , amigos golpistas . mercenario indigno mal parido",0
193,"arrollada docena manteros gran via paseaba junto madre , iba silla ruedas motorizada . verse medio estampida subsaharianos , portaban mercancias habituales mantas tela ... https : //t.co/4rzpjkypmr",1
194,grande-marlaska acusa gobierno rajoy crisis migratoria espana via @ el_plural https : //t.co/ts6r8dqyww tribunal estrasburgo considero espana habia vulnerado convenio europeo derechos humanos devolver marruecos dos inmigrantes subsaharianos ...,0
195,callate zorra pinera https : //t.co/66z764i6jw,1
196,"@ a3noticias ser 'fake new ' mujeres siempre victimas , hijas puta maltratadoras . chaval machista merecido ( machete machote ) .",1
197,@ saancisco callate puta traidor .,0
198,alguien meta pene boca perra ver si queda callada,1
199,"tenia compa , chile agarraron , iba dar puta madre ' ... callate joto dale vergazo ...",0
200,muerto perra aguantar tonterias .,0
201,"aaaah vale vale , aclarado jajajajajaja pues ojala , pareces tio puta madre mereces mejor . porq ...  monisimos ente superior diseno , voy ser padrino ... https : //t.co/2sq864jj4t",0
202,"agrego bicho random libya hablar . bicho pregunto si gusta viajar cuenta viajado casi paises arabes , digo alla voy porq matan gays .",0
203,"macri callate hijo puta , voy ahorcar manos !",0
204,"feliz cumple vos amiga , espero pases hermoso mereces , 18 perra amo tonta @ keymailen1 https : //t.co/0lvmiyb9rc",0
205,"@ hugo_gonzalez1 @ orgullorayado @ rayados @ pumamexico @ pumafootball callate puto hocico hijo perra madre pinche manos guangas , largo equipo perro ! ..hoy ganamos .",0
206,"@ alaniscristalv callate , pa ' interes cualquiera so perra",1
207,vela feminiprogres progres gilipollas estan favor llenar espana subsaharianos musulmanes cuya religion obliga tapar mujeres ; va ser gracioso ver anos cazan calles ensenar carne ejerciendo libertades mujer,1
208,"@ obseno1 @ rosalaconejita mmmmm mas tetona puta mexico , pinche puta tan buena . mmmm mereces k usan , abusan cama , cogen puta k , mmmm mama verga puta",1
209,"escuchame joderia jajajajajajajajajajajajajaja si pa ensenar ser guarra biennnn guarra , menos mal respeto si ... https : //t.co/yt5fhp99b7",0
210,ensenar lpm ... espadachin filo agarrar puta madre ahre voy ensenar espada caballo montar ahre https : //t.co/ku0iweksob,0
211,arabe pussy baile @ papichampok @ _eckoyg,0
212,"@ namurii @ medicaster_xz @ yorha2d @ keloklau_ merecia puta quiere metan verga , jajaja mamen",1
213,", puta injusticia verdad ! mireya comido , comenzar merecia nominada semana ... # otgala7",0
214,zorra hambrienta incorregible depredador .,0
215,"renzo conchetumadre ! ! ! hijo perra ! ! ! ! mereces muerte mas cruel @ puta vida , maricon culiao . # revelacionestormentosas # perdonanuestrospecados",0
216,@ lunavalenteex @ beatri_vendra iuuuuuuuh dolio caraaa zorra,1
217,"subsaharianos , caminan bajo sol desierto palos inclinados giacometti ( espera kafkianamente europeo ) ley mas fuerte tecnicos mejor posicionado puedes pensar buenos soncomo moscas situvieraelmismoardorjesus",1
218,"brasil creen europea . vidas , si tan solo supieran mas sudaka pobre",1
219,| unico dominas polla cara . https : //t.co/qlyod4zpww,1
220,@ lusiluu24 @ surgicalgolem @ murirooster callate perra mira foto perfil quieres cojan olvidas,1
221,arabe tenes malllll lpm sali cabeza,0
222,"chica guarra , zorra , puta , buscan manera vestir .",0
223,@ cejasagustina7 callateeee tenes culazo puta,1
224,puedo dejar escuchar arabe lpm bastaaaa,0
225,@ ojvr__ acho callate jodia perra,1
226,"`` `` '' residente '' '' gobierno @ sanchezcastejon quiere ayudar @ guardiacivil laa fronteras , propongo hacer colecta espanol quiera pueda , viaje melilla rodee valla . si invaden igualdad fuerzas . # felizsabado ''",0
227,@ soypeneco ven aqui mames zorra / @ ladymafalda471 vivo https : //t.co/xob5dg3ske,1
228,propositos 2018 : ensenarle perra traerme desayuno cama .,0
229,novia polla . ahi vez levanta . pantalones cama .,1
230,"@ todonoticias callate asesino hijo puta , ara desaparecio culpa , maldito toda eternidad ! ! ! ! ! !",0
231,aquel molestado investigar sabe tiempos antiguos mayores negreros esclavistas mundo arabes . https : //t.co/dy5uo8979v,1
232,jajajajaajajajajajaa callate pendeja shuacale muevale puta https : //t.co/29begqwayo,1
233,mereces coman cono peor  pasa puta cabeza escribirle alguien cosas ? pregunto https : //t.co/r7zddkttqj,0
234,"@ rissadirtymoney callate puta , hermosa",1
235,gente quiere venir ensenar historia puta vida toco libro . interesa historia ensenaron viejos ...,0
236,"@ alfreserramanci mira grandisimo hijo puta , mal parido , rolo cabron grandisima plasta mierda solo pusiste becerro maduro acabar economia vnzla",0
237,"mmm.. espera , dices ? https : //t.co/eqktqodn6t",0
238,"-madrid , infarto mantero . izmierda calle , subsaharianos tirando sillas redes ardiendo . -barcelona , turista casi asesinado mantero . tt . ido manos .",1
239,@ mjossandon @ guillier callate hijo puta vendido ! !,0
240,"@ lape_fans @ valeriaberamend @ violeurtizberea @ murielsantaok pues , callate puta boca .",0
241,@ asleerr @ miaresproject callate puta boca vete biblioteca buscas seccion feminismo quedas callado lees dejas soltar gilipolleces comparable tierra plana cuanto retroceso debates,0
242,"@ evamari86958216 @ alex_ucm1 tambien creo mala puta tambien quedo corto , ademas mal educada ...",1
243,polla poder quedarme dormido culpa mocos,0
244,@ sadlunala callate geta estupida cucaracha perra mutante c :,1
245,"@ callodehacha pendejo ! ! ! wey puta da mejor postor . menos estava pedo , cabron mames . chingar madre asi nomas quedo ! ! !",1
246,@ radiomitre callate negra puta ! va llegar dia pagues .,1
247,"asco vas sola calle gritan viejos babosos , callate hijo puta q podes ser padre-.-",0
248,@ pepe_elezequiel puta ! ? puta vos metes mujer angel enviado jesucristo senor darnos paz buscamos solo verla,0
249,"@ sergionhur dejate tonterias , haces puta madre . rendirse nunca opcion .",0
250,# racismoes voy shopping tianguis dicen guero,0
251,refugiados llegaron valparaiso 3 septiembre 1939 ( wikipedia ) . https : //t.co/cbatpxjuxo,0
252,98167 . perra maldita corazon jajajajajaja,1
253,@ jorgecalabres peor mundo grandisimo hijo perra,0
254,"saber leer hablar entender lenguas arabes frustrante encuentro libros ahi dibujos increibles libros poesia imposible entender . quiero algun momento vida aprender aunque poquito , conversar arabe .",0
255,"puta madre mereces bueno @ flor_vigna , anos demostras sos mejor # showmatch2017 manda baila flor 13013",0
256,"colombia tocara emigrar pateras , hacen africanos subsaharianos .",0
257,"@ chicomaravillx bien puta , ofreces culo .",1
258,"`` - barcelona dia 17 hacer paripe ,  ? - si , papi . - recuerda 18 llamar amigo arabe `` '' aquello '' '' . - si , papi .  agenda `` '' campamentos '' '' prometiste ? - vale ... dia 20 ... ! ! ! https : //t.co/f1k75zm8zr ''",0
259,"-eres poblana ? -soy colombiana -y guera ? colombia todas morenas , colombia 3 veces . -ok , menti solo pinto cabello",0
260,anoche hablando bebe ; v casi dormida escribi arabe jajajajajaja,0
261,@ carlaeurena @ felipecalderon callateeeee ! ! puta gallina cacarea ! ! idea .,1
262,: bizcochitooo ( cantando ) mama : tenes clara puta jajajajaja estallo,1
263,"basura vecinos , asquerosos , mezquinos hijos gran puta inventarse vecino hace ruido van llaman cnp presenten aqui , puta puerta , hace media hora apetece molestar vecino arriba .",0
264,"alarma mas 50.000 subsaharianos esperan marruecos cruzar espana . @ ppopular @ ahorapodemos poitica , matar pueblo hambre pondreis alfombra entren , basura . https : //t.co/hg3ozvctf1 via @ elmundoes",1
265,tantos arabes q venezuela pueden hacer atentado decente q pasa ? ? ? ? ? ? ? ? ?,1
